# turbineX, turbineY, turbineZ
3.791999999999999886e+02 3.791999999999916895e+02 1.277547182572225353e+02
7.255213577998609935e+02 3.792000000000001023e+02 7.320000000000000284e+01
1.162842215406358264e+03 3.792000000000001023e+02 1.277547182572225353e+02
1.596218635573127358e+03 3.792000000000000455e+02 7.320000000000000284e+01
1.896000000000000000e+03 3.792000000000000455e+02 1.277547182572225353e+02
3.792000000000000455e+02 6.320000005122647053e+02 7.320000000000000284e+01
7.541503802400369523e+02 6.303738071302041135e+02 1.277547182572225353e+02
1.210414987367646745e+03 6.274835229031353947e+02 7.320000000000000284e+01
1.644417931168170526e+03 6.390904895627197675e+02 1.277547182572225353e+02
1.896000000000000000e+03 6.639067929333494931e+02 7.320000000000000284e+01
3.792000000000000455e+02 9.904346174724677212e+02 1.277547182572225353e+02
7.164817273201562102e+02 1.144376772296795025e+03 7.320000000000000284e+01
1.259890344547437280e+03 9.965947591784089354e+02 1.277547182572225353e+02
1.896000000000000000e+03 1.087788111230467166e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.383444656350128525e+03 1.277547182572225353e+02
3.792000000000000455e+02 1.643199999999999818e+03 7.320000000000000284e+01
6.420412149399145392e+02 1.658123750359458199e+03 1.277547182572225353e+02
1.010237131197925805e+03 1.853492344721853897e+03 7.320000000000000284e+01
1.478217369243318444e+03 1.649477233237640348e+03 1.277547182572225353e+02
1.896000000000000000e+03 1.636244656388418662e+03 7.320000000000000284e+01
3.792000000000000455e+02 1.896000000000000000e+03 1.277547182572225353e+02
7.276570956443342766e+02 1.896000000000000000e+03 7.320000000000000284e+01
1.259437732170538084e+03 1.896000000000000000e+03 1.277547182572225353e+02
1.534202783176029925e+03 1.896000000000000000e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.896000000000000000e+03 1.277547182572225353e+02
