# turbineX, turbineY, turbineZ
3.918399999999999750e+02 3.918400000000006003e+02 1.354638433131611066e+02
7.618097933614968724e+02 3.918400000000002592e+02 7.320000000000000284e+01
1.192041738619889884e+03 3.918400000000000887e+02 1.354638433131611066e+02
1.706400000000000318e+03 3.918400000000000887e+02 7.320000000000000284e+01
1.959200000000000273e+03 3.918399999999999750e+02 1.354638433131611066e+02
3.918399999999999181e+02 6.446400000664692698e+02 7.320000000000000284e+01
8.087308671993220059e+02 6.402474334232264255e+02 1.354638433131611066e+02
1.255899083040762207e+03 6.364418800555903317e+02 7.320000000000000284e+01
1.719831215042049735e+03 6.898494619384744055e+02 1.354638433131611066e+02
1.959199999999999818e+03 7.711539838327239522e+02 7.320000000000000284e+01
3.918400000000000318e+02 1.043695325202975482e+03 1.354638433131611066e+02
7.050706051334743734e+02 1.123139487435658566e+03 7.320000000000000284e+01
1.171227347868339393e+03 1.174133108388077744e+03 1.354638433131611066e+02
1.604840802104847626e+03 1.206461822621933152e+03 7.320000000000000284e+01
1.959199999999999818e+03 1.300870401967826865e+03 1.354638433131611066e+02
3.918400000000000887e+02 1.578517010851335272e+03 7.320000000000000284e+01
6.369437692835480220e+02 1.640420035520853389e+03 1.354638433131611066e+02
1.092898082828990709e+03 1.714929243847639100e+03 7.320000000000000284e+01
1.557062967622477345e+03 1.712128415241987796e+03 1.354638433131611066e+02
1.959200000000000273e+03 1.699582076912768116e+03 7.320000000000000284e+01
3.918399999999999750e+02 1.959199999999999818e+03 1.354638433131611066e+02
6.446400000458580735e+02 1.959200000000000273e+03 7.320000000000000284e+01
1.158010583145217652e+03 1.959200000000000273e+03 1.354638433131611066e+02
1.610574387118628010e+03 1.959200000000000273e+03 7.320000000000000284e+01
1.959200000000000273e+03 1.959199999999999818e+03 1.354638433131611066e+02
