# turbineX, turbineY, turbineZ
9.696498141752158517e+02 1.649959824307734735e+01 1.309535381211542528e+02
1.523466269171608928e+03 5.071606014709144628e-01 7.507554561120528547e+01
2.133671400788934989e+03 1.936811345016326769e+01 1.309535381211542528e+02
7.238143080749157434e+02 4.999760942705857474e+02 7.507554561120528547e+01
1.313520865998354111e+03 5.121760275846598915e+02 1.309535381211542528e+02
1.924985486197047521e+03 5.357494862989502735e+02 7.507554561120528547e+01
2.546938010150344780e+03 5.702864076110935230e+02 1.309535381211542528e+02
3.111894871040967701e+03 5.662078305950728918e+02 7.507554561120528547e+01
4.694931815011022422e+02 1.000140976434458139e+03 1.309535381211542528e+02
1.057803363316791092e+03 1.013271280122699068e+03 7.507554561120528547e+01
1.646653379050388367e+03 1.022998203893010327e+03 1.309535381211542528e+02
2.267008381270538393e+03 1.049586117481595466e+03 7.507554561120528547e+01
2.872218423368756703e+03 1.085893525309007828e+03 1.309535381211542528e+02
3.469531702419441899e+03 1.083180065237545705e+03 7.507554561120528547e+01
2.233452026057338173e+02 1.484232003013732310e+03 1.309535381211542528e+02
8.021735919927210716e+02 1.498787397453813810e+03 7.507554561120528547e+01
1.383414788760480860e+03 1.503116019385746085e+03 1.309535381211542528e+02
1.983736711699196348e+03 1.516723627557551026e+03 7.507554561120528547e+01
2.587565945290725267e+03 1.562450753021546006e+03 1.309535381211542528e+02
3.192504331381790053e+03 1.600475223940218939e+03 7.507554561120528547e+01
3.791046638987495044e+03 1.616838402309829235e+03 1.309535381211542528e+02
5.380534007255921551e+02 1.991109977999256671e+03 7.507554561120528547e+01
1.122032887378964688e+03 1.997951520459469066e+03 1.309535381211542528e+02
1.713420886057633197e+03 2.012405563821775331e+03 7.507554561120528547e+01
2.304835836736927376e+03 2.028860135949742926e+03 1.309535381211542528e+02
2.905578424547000395e+03 2.067777960292194621e+03 7.507554561120528547e+01
3.506181527744947743e+03 2.117388551406039824e+03 1.309535381211542528e+02
2.862199468189854201e+02 2.490011332097444665e+03 7.507554561120528547e+01
8.544639268953542341e+02 2.478264157488054025e+03 1.309535381211542528e+02
1.438197373466895669e+03 2.482746791215492067e+03 7.507554561120528547e+01
2.021465796719013497e+03 2.502121402506237246e+03 1.309535381211542528e+02
2.615851294425561719e+03 2.534945705586037093e+03 7.507554561120528547e+01
3.206030428701956225e+03 2.578945391411924902e+03 1.309535381211542528e+02
3.778260636133166372e+03 2.598409220412823288e+03 7.507554561120528547e+01
3.900375043350889026e+00 2.922861554813338444e+03 1.309535381211542528e+02
5.836443214749248227e+02 2.956909554056132492e+03 7.507554561120528547e+01
1.154584030785170398e+03 2.965506606577916500e+03 1.309535381211542528e+02
1.732330446650819795e+03 2.976686324756177783e+03 7.507554561120528547e+01
2.325617698260266934e+03 3.000811150243776410e+03 1.309535381211542528e+02
2.912715372579353243e+03 3.033489864771715929e+03 7.507554561120528547e+01
3.468020665386672135e+03 3.075646938154147392e+03 1.309535381211542528e+02
3.120985029951008300e+02 3.445890961385918217e+03 7.507554561120528547e+01
8.762826780160118005e+02 3.439215349559810875e+03 1.309535381211542528e+02
1.452867671064967453e+03 3.450700743712370695e+03 7.507554561120528547e+01
2.020036356063251787e+03 3.473698536692566904e+03 1.309535381211542528e+02
2.610968346607269268e+03 3.494850001004450860e+03 7.507554561120528547e+01
3.161100450099798309e+03 3.539508141006353526e+03 1.309535381211542528e+02
3.706973280165823326e+03 3.565832067943120364e+03 7.507554561120528547e+01
1.975604922015616083e+01 3.892336347978656704e+03 1.309535381211542528e+02
5.929267008429733323e+02 3.929159366919213426e+03 7.507554561120528547e+01
1.157313165404422080e+03 3.915944234297356616e+03 1.309535381211542528e+02
1.733533590141882769e+03 3.932989270160001524e+03 7.507554561120528547e+01
2.292460355568292925e+03 3.970871229863963435e+03 1.309535381211542528e+02
2.849745668411538190e+03 3.988112176289309446e+03 7.507554561120528547e+01
2.866755811230817130e+02 4.372154191905227890e+03 1.309535381211542528e+02
8.686972263492170896e+02 4.393069410268693900e+03 7.507554561120528547e+01
1.438358950605565951e+03 4.398361072922977655e+03 1.309535381211542528e+02
1.993879052481997860e+03 4.420473594398603382e+03 7.507554561120528547e+01
1.111447216183891214e+03 4.862251736656736284e+03 1.309535381211542528e+02
1.673604309373797150e+03 4.889406407627673616e+03 7.507554561120528547e+01
