# turbineX, turbineY, turbineZ
9.903037087632944804e+02 2.054122617124066608e+01 7.323781051302792378e+01
1.160121958606191583e+03 1.901072983183966159e+01 7.382779344474172945e+01
1.408671913857436493e+03 1.586722648033462058e+01 7.323781051302792378e+01
9.180826903513067236e+02 1.612169838496026273e+02 7.382779344474172945e+01
1.076054798053723516e+03 1.535174915541301743e+02 7.323781051302792378e+01
1.234857067127892151e+03 1.587155096669549721e+02 7.382779344474172945e+01
1.499995035873716461e+03 1.464477320977435681e+02 7.323781051302792378e+01
1.585922064441605244e+03 1.367502757102759858e+01 7.382779344474172945e+01
8.400890662549322769e+02 3.100786462456737240e+02 7.323781051302792378e+01
9.976840339451160844e+02 2.977693091411966293e+02 7.382779344474172945e+01
1.155903913939223230e+03 2.955753967469419194e+02 7.323781051302792378e+01
1.376353848203885946e+03 2.456397553873491688e+02 7.382779344474172945e+01
1.520356275706680435e+03 3.139097490360253460e+02 7.323781051302792378e+01
1.887165767817269398e+03 2.606120392843599376e+01 7.382779344474172945e+01
7.657325132423970899e+02 4.564796509395820863e+02 7.323781051302792378e+01
9.237289410472789086e+02 4.513265421031144911e+02 7.382779344474172945e+01
1.081154852632351776e+03 4.350249181173725788e+02 7.323781051302792378e+01
1.240087115819215114e+03 4.293251581636085348e+02 7.382779344474172945e+01
1.398608369626410877e+03 4.150320269761033387e+02 7.323781051302792378e+01
1.705273729591887331e+03 3.912515445885650252e+02 7.382779344474172945e+01
1.785193109031390804e+03 1.909463967044323454e+02 7.323781051302792378e+01
6.144840440150659333e+02 8.180858005351368547e+02 7.382779344474172945e+01
7.437926758238724005e+02 7.247589064914885739e+02 7.323781051302792378e+01
1.039843195329149239e+03 5.878295615581021138e+02 7.382779344474172945e+01
1.197860764634595171e+03 5.815922366471094165e+02 7.323781051302792378e+01
1.357690377512139094e+03 5.690479040906037653e+02 7.382779344474172945e+01
1.537372208442037163e+03 5.429480300436290463e+02 7.323781051302792378e+01
5.180588963893967502e+02 9.437891405723224807e+02 7.382779344474172945e+01
8.410255734039676554e+02 8.577118655796396069e+02 7.323781051302792378e+01
9.767996482149039821e+02 7.679580216373145731e+02 7.382779344474172945e+01
1.130131450862828160e+03 7.269668332580004062e+02 7.323781051302792378e+01
1.287746897222008101e+03 7.116962217794178969e+02 7.382779344474172945e+01
1.445495002860731574e+03 7.004099792743750186e+02 7.323781051302792378e+01
1.613197731583517907e+03 7.135074780668581980e+02 7.382779344474172945e+01
5.166778410340762093e+02 1.116126120655475916e+03 7.323781051302792378e+01
7.215952104083588665e+02 1.056928181086524319e+03 7.382779344474172945e+01
8.792644680203774215e+02 1.073260810935450991e+03 7.323781051302792378e+01
1.033675615141282833e+03 9.608540806520355773e+02 7.382779344474172945e+01
1.189781587194707527e+03 8.896624401959527404e+02 7.323781051302792378e+01
1.360481800175861508e+03 8.573331925326449436e+02 7.382779344474172945e+01
1.518815710478035498e+03 8.407068218103021309e+02 7.323781051302792378e+01
4.703424867635141595e+02 1.315108194644981722e+03 7.382779344474172945e+01
7.290710785922776722e+02 1.221661807302047009e+03 7.323781051302792378e+01
9.030200578661546160e+02 1.229662648045785545e+03 7.382779344474172945e+01
1.080461447347403237e+03 1.111866849639864768e+03 7.323781051302792378e+01
1.250431863262466095e+03 1.046710615235576824e+03 7.382779344474172945e+01
1.418107991708207919e+03 1.022866523598060667e+03 7.323781051302792378e+01
1.643702618928193942e+03 1.036755169432753064e+03 7.382779344474172945e+01
3.475430706546545139e+02 1.415534996878983520e+03 7.323781051302792378e+01
5.683171746063313776e+02 1.461451757663298167e+03 7.382779344474172945e+01
7.691168838556059200e+02 1.386745394961683360e+03 7.323781051302792378e+01
9.415517484165485484e+02 1.383619973303548250e+03 7.382779344474172945e+01
1.099870725070088383e+03 1.268839627565726460e+03 7.323781051302792378e+01
1.265566649880330260e+03 1.204259390300781661e+03 7.382779344474172945e+01
2.711095232351874529e+02 1.610286156410269541e+03 7.323781051302792378e+01
5.493484506651221864e+02 1.674100767463074590e+03 7.382779344474172945e+01
7.227654679523035384e+02 1.584110968706578205e+03 7.323781051302792378e+01
8.807562918267860823e+02 1.575026987381828121e+03 7.382779344474172945e+01
1.751454934240211117e+02 1.893177259460284176e+03 7.323781051302792378e+01
4.106919675615076244e+02 1.832556067137072660e+03 7.382779344474172945e+01
