# turbineX, turbineY, turbineZ
6.319999999999998863e+02 6.319999999999998863e+02 1.175507443864389927e+02
8.848000000000000682e+02 6.320000000000000000e+02 7.320000000000000284e+01
1.142944909699485152e+03 6.320000000000000000e+02 1.175507443864389927e+02
1.663110646926974823e+03 6.672829513790578631e+02 7.320000000000000284e+01
2.443370314020863134e+03 6.319999999999998863e+02 1.175507443864389927e+02
6.320000000000000000e+02 8.873232631413924310e+02 7.320000000000000284e+01
1.100526187552932470e+03 1.079423950631957268e+03 1.175507443864389927e+02
1.409209632668575750e+03 6.320000000006267555e+02 7.320000000000000284e+01
2.076775011892865678e+03 6.696234512570226798e+02 1.175507443864389927e+02
2.461106002614119461e+03 8.842410617296912960e+02 7.320000000000000284e+01
6.319999999999997726e+02 1.398777246000704508e+03 1.175507443864389927e+02
8.891331997471800150e+02 1.421271104246516416e+03 7.320000000000000284e+01
1.389961710163306861e+03 1.412980684074642113e+03 1.175507443864389927e+02
1.839089066773643481e+03 1.348187825145500028e+03 7.320000000000000284e+01
2.289833214578619845e+03 1.438894467485325777e+03 1.175507443864389927e+02
6.320000000000000000e+02 1.883955496515286995e+03 7.320000000000000284e+01
8.839580776618478239e+02 1.928980096611060844e+03 1.175507443864389927e+02
1.318575883446419539e+03 2.009769325263555174e+03 7.320000000000000284e+01
1.885624930977789290e+03 1.742374054384577448e+03 1.175507443864389927e+02
2.296206392969929311e+03 1.820386525081522223e+03 7.320000000000000284e+01
6.320000000000001137e+02 2.340062184341347802e+03 1.175507443864389927e+02
9.377432323119511466e+02 2.194570092406062031e+03 7.320000000000000284e+01
1.624517387518695159e+03 2.071290386161520019e+03 1.175507443864389927e+02
1.863183003812226616e+03 2.179452491589605415e+03 7.320000000000000284e+01
2.353253379608172509e+03 2.192868393339851536e+03 1.175507443864389927e+02
