# turbineX, turbineY, turbineZ
6.320000000000000000e+02 6.320000000000000000e+02 1.150661078742399184e+02
1.250063084094948408e+03 6.320000000000000000e+02 7.451961359954403008e+01
1.885364431978190623e+03 6.320000000000000000e+02 1.150661078742399184e+02
2.519961604307938160e+03 6.320000000000000000e+02 7.451961359954403008e+01
3.156076928049596518e+03 6.320000000000000000e+02 1.150661078742399184e+02
6.320000000000000000e+02 1.256618823247879618e+03 7.451961359954403008e+01
1.260664590600065139e+03 1.256822451983715609e+03 1.150661078742399184e+02
1.896554896572514053e+03 1.253863676864004447e+03 7.451961359954403008e+01
2.530955123091275254e+03 1.256681607603461771e+03 1.150661078742399184e+02
3.156080984682925646e+03 1.258256860197462402e+03 7.451961359954403008e+01
6.320000000000000000e+02 1.892567481371983376e+03 1.150661078742399184e+02
1.256391500911604908e+03 1.894056103923436467e+03 7.451961359954403008e+01
1.894019890786981932e+03 1.891184196702394502e+03 1.150661078742399184e+02
2.531735776851014180e+03 1.890900452732014855e+03 7.451961359954403008e+01
3.156083650926232622e+03 1.892217144124234665e+03 1.150661078742399184e+02
6.320000000000000000e+02 2.527225557079348619e+03 7.451961359954403008e+01
1.255134888969124177e+03 2.528934213307988102e+03 1.150661078742399184e+02
1.887298149139462112e+03 2.531536973117938487e+03 7.451961359954403008e+01
2.523911828146155585e+03 2.529028693908408513e+03 1.150661078742399184e+02
3.156078519383431285e+03 2.528604542215876336e+03 7.451961359954403008e+01
6.319999999992511448e+02 3.156077404542876138e+03 1.150661078742399184e+02
1.265565882751455774e+03 3.156079314052428344e+03 7.451961359954403008e+01
1.898844857838256303e+03 3.156081927435192938e+03 1.150661078742399184e+02
2.534704386569002509e+03 3.156079166969918788e+03 7.451961359954403008e+01
3.156080863610181041e+03 3.156077613726006803e+03 1.150661078742399184e+02
