# turbineX, turbineY, turbineZ
6.320000000000000000e+02 6.319999999999997726e+02 1.309844722732411242e+02
9.159671338420149596e+02 6.320000000000002274e+02 7.385144290552474899e+01
1.199948619605212798e+03 6.319999999920637492e+02 1.309844722732411242e+02
1.549023038969643949e+03 6.319999999924419853e+02 7.385144290552474899e+01
3.004956428354119453e+03 6.320000000000000000e+02 1.309844722732411242e+02
6.320000000000000000e+02 9.159671338420146185e+02 7.385144290552474899e+01
1.008878399810592327e+03 9.145699803126105962e+02 1.309844722732411242e+02
1.345000755815582579e+03 8.945860514490555033e+02 7.385144290552474899e+01
2.385713506411860635e+03 6.319999993468820776e+02 1.309844722732411242e+02
2.607725803570149765e+03 8.794544672137653833e+02 7.385144290552474899e+01
6.320000000000000000e+02 1.256317134012398355e+03 1.309844722732411242e+02
9.175615341728018848e+02 1.248584162091831331e+03 7.385144290552474899e+01
1.283310647171984328e+03 1.217781813998938333e+03 1.309844722732411242e+02
2.340500010916693100e+03 1.150137918611830855e+03 7.385144290552474899e+01
2.989358620385293307e+03 1.138876076213125998e+03 1.309844722732411242e+02
6.319999998782510602e+02 1.596267249313907541e+03 7.385144290552474899e+01
9.910287447617284897e+02 1.576233664007935204e+03 1.309844722732411242e+02
1.308483534468015023e+03 1.650410695741697964e+03 7.385144290552474899e+01
1.640937549355036936e+03 1.737587395909337829e+03 1.309844722732411242e+02
2.575628362001709320e+03 1.649652822333664290e+03 7.385144290552474899e+01
6.319999999642768671e+02 1.882212994119531459e+03 1.309844722732411242e+02
8.701842970138534383e+02 2.521561590198184149e+03 7.385144290552474899e+01
1.326058485317178565e+03 1.952300641187267274e+03 1.309844722732411242e+02
2.218252029638545991e+03 1.737993914949890268e+03 7.385144290552474899e+01
1.844015483106182728e+03 2.890067259135540098e+03 1.309844722732411242e+02
