# turbineX, turbineY, turbineZ
6.762177796063277810e+02 9.305424275227020416e+02 1.431109943783506822e+02
1.214676547914947378e+03 7.613317166298118082e+02 8.377930426520899232e+01
1.787201250145677250e+03 7.201783843612623741e+02 1.431109943783506822e+02
2.212382911770139799e+03 7.819253100727671608e+02 8.377930426520899232e+01
2.815866103858883889e+03 8.207077429555420167e+02 1.431109943783506822e+02
1.492001384614502513e+03 1.261097415532282639e+03 8.377930426520899232e+01
1.850983077049530038e+03 1.141554193878402657e+03 1.431109943783506822e+02
2.095629454402015199e+03 1.235112539906354414e+03 8.377930426520899232e+01
2.548329740957396098e+03 1.131792518162846136e+03 1.431109943783506822e+02
3.147144387426066714e+03 1.151869726100095477e+03 8.377930426520899232e+01
9.477704570758119189e+02 1.684984067423992883e+03 1.431109943783506822e+02
1.502028068150527361e+03 1.924038858713010086e+03 8.377930426520899232e+01
1.830680138136064897e+03 1.811732975395765379e+03 1.431109943783506822e+02
3.160000015619668829e+03 1.510299478753663379e+03 8.377930426520899232e+01
3.113238605711684613e+03 2.069029131682214484e+03 1.431109943783506822e+02
6.433814587220404064e+02 2.697038511172016570e+03 8.377930426520899232e+01
1.240503793971680579e+03 2.422386001025617588e+03 1.431109943783506822e+02
1.845486750055282755e+03 2.258975375586807331e+03 8.377930426520899232e+01
2.308061791166195690e+03 2.560943940966134505e+03 1.431109943783506822e+02
3.021312527144362775e+03 2.328869401397059846e+03 8.377930426520899232e+01
6.341820341021856393e+02 3.088997350394933164e+03 1.431109943783506822e+02
1.464711307453150312e+03 2.750001883476539660e+03 8.377930426520899232e+01
1.809290532575543011e+03 3.030506698837758904e+03 1.431109943783506822e+02
2.120716716972760878e+03 3.146530038443520880e+03 8.377930426520899232e+01
2.959422059699109923e+03 2.742351650572505150e+03 1.431109943783506822e+02
