# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000001023e+02 1.499999999999996021e+02
7.002781541741381943e+02 3.792000000000001023e+02 7.320000000000024443e+01
1.089687506322383570e+03 3.792000000000001023e+02 1.499999999999996021e+02
1.643199999999999818e+03 3.792000000000000455e+02 7.320000000000024443e+01
1.896000000000000000e+03 3.792000000000001023e+02 1.499999999999996021e+02
3.792000000000156206e+02 6.320002081696954974e+02 7.320000000000024443e+01
7.661350038040711752e+02 6.232711332403374627e+02 1.499999999999996021e+02
1.144901186605160319e+03 6.258968195782116481e+02 7.320000000000024443e+01
1.654516782521327968e+03 6.680119388570168439e+02 1.499999999999996021e+02
1.896000000000000000e+03 7.428030106390428955e+02 7.320000000000024443e+01
3.792000000000001023e+02 1.008879954579867899e+03 1.499999999999996021e+02
6.929414803441571848e+02 1.091654679866381002e+03 7.320000000000024443e+01
1.123148456164297841e+03 1.124108491122848136e+03 1.499999999999996021e+02
1.655989486698267456e+03 1.097637747223048336e+03 7.320000000000024443e+01
1.896000000000000000e+03 1.177028388170302378e+03 1.499999999999996021e+02
3.792000000000001023e+02 1.643200000000000500e+03 7.320000000000024443e+01
6.317264709634125666e+02 1.654957564654443331e+03 1.499999999999996021e+02
1.048359895130611676e+03 1.659400313222884961e+03 7.320000000000024443e+01
1.502602280982617003e+03 1.651714547106308146e+03 1.499999999999996021e+02
1.888107372217076090e+03 1.643323198242308763e+03 7.320000000000024443e+01
3.792000000000001023e+02 1.896000000000000000e+03 1.499999999999996021e+02
7.427350321504492285e+02 1.896000000000000000e+03 7.320000000000024443e+01
1.137401633193914222e+03 1.896000000000000000e+03 1.499999999999996021e+02
1.567659637319742160e+03 1.896000000000000000e+03 7.320000000000024443e+01
1.896000000000000000e+03 1.896000000000000000e+03 1.499999999999996021e+02
