# turbineX, turbineY, turbineZ
3.791999999925424163e+02 3.792000000028390900e+02 1.500000000137732457e+02
7.324923880989538247e+02 3.792000000040259806e+02 7.319999999960589321e+01
1.121467559194298019e+03 3.792000000027538817e+02 1.500000000137732457e+02
1.515526182861293137e+03 3.792000000000802515e+02 7.319999999960589321e+01
1.895999999913176453e+03 3.792000000028452291e+02 1.500000000137732457e+02
3.792000000030914748e+02 7.357685019235910886e+02 7.319999999960589321e+01
7.693803664417870323e+02 7.427061012781833824e+02 1.500000000137732457e+02
1.152799459359556749e+03 7.460549267429663587e+02 7.319999999960589321e+01
1.547460226282317308e+03 7.605758956781241977e+02 1.500000000137732457e+02
1.895999999928843181e+03 7.767110630920636822e+02 7.319999999960589321e+01
3.792000000012206442e+02 1.119712481991057984e+03 1.500000000137732457e+02
7.567826203497422739e+02 1.139196020393944536e+03 7.319999999960589321e+01
1.149609236130944737e+03 1.138753388291300325e+03 1.500000000137732457e+02
1.544464052246161373e+03 1.142973844539373204e+03 7.319999999960589321e+01
1.895999999942464228e+03 1.166452887552852189e+03 1.500000000137732457e+02
3.792000000015973455e+02 1.511991942691866598e+03 7.319999999960589321e+01
7.440294531006504712e+02 1.525031866471311560e+03 1.500000000137732457e+02
1.134163920441825439e+03 1.532920170502786277e+03 7.319999999960589321e+01
1.526107089814200663e+03 1.538756188504179363e+03 1.500000000137732457e+02
1.895999999923929636e+03 1.550839954174866762e+03 7.319999999960589321e+01
3.792000000022451331e+02 1.895999999918925596e+03 1.500000000137732457e+02
7.552811249767441950e+02 1.895999999942792101e+03 7.319999999960589321e+01
1.146465821065047749e+03 1.895999999932810169e+03 1.500000000137732457e+02
1.537614161305669313e+03 1.895999999920333948e+03 7.319999999960589321e+01
1.895999999952572125e+03 1.895999999927196768e+03 1.500000000137732457e+02
