# turbineX, turbineY, turbineZ
6.320000000000000000e+02 6.319999999963392838e+02 9.000000000000000000e+01
9.716438505201576845e+02 6.320000000000000000e+02 9.000000000000000000e+01
1.352595047219182561e+03 6.320000000000001137e+02 9.000000000000000000e+01
1.725791841426359952e+03 6.320000000000000000e+02 9.000000000000000000e+01
2.094098776400074257e+03 6.320000000000000000e+02 9.000000000000000000e+01
6.319999999410171085e+02 9.462748156711080583e+02 9.000000000000000000e+01
9.963408982700728984e+02 9.654988361313378391e+02 9.000000000000000000e+01
1.368539395328220735e+03 9.660621340954412517e+02 9.000000000000000000e+01
1.764962915623156960e+03 9.882369509469318700e+02 9.000000000000000000e+01
2.092283397650080587e+03 1.016767084108879999e+03 9.000000000000000000e+01
6.320000000000000000e+02 1.343867488483167790e+03 9.000000000000000000e+01
9.793745684270334095e+02 1.373466453337810208e+03 9.000000000000000000e+01
1.389754730731528980e+03 1.368371738984134254e+03 9.000000000000000000e+01
1.774574292000260584e+03 1.386171026365014995e+03 9.000000000000000000e+01
2.103112743809653693e+03 1.415056781532890682e+03 9.000000000000000000e+01
6.319999999999998863e+02 1.769749156512002855e+03 9.000000000000000000e+01
9.611061225104798496e+02 1.806218363535190065e+03 9.000000000000000000e+01
1.366305908324263555e+03 1.809667439090471589e+03 9.000000000000000000e+01
1.750342248250967941e+03 1.802469607904508621e+03 9.000000000000000000e+01
2.101423648889543529e+03 1.768711552746364987e+03 9.000000000000000000e+01
6.319999999942508566e+02 2.102076370664109618e+03 9.000000000000000000e+01
1.014649549718424396e+03 2.114820125802740677e+03 9.000000000000000000e+01
1.387159790050988477e+03 2.108311143931437982e+03 9.000000000000000000e+01
1.763643606913794656e+03 2.109103294631664085e+03 9.000000000000000000e+01
2.098314481396183055e+03 2.099963057619735082e+03 9.000000000000000000e+01
