# turbineX, turbineY, turbineZ
8.826185647381549870e+02 6.320000402989317081e+02 9.000000000000000000e+01
1.643712143126528872e+03 6.320000424730835675e+02 9.000000000000000000e+01
2.220568104188797861e+03 6.320000433040366943e+02 9.000000000000000000e+01
2.808469140151348256e+03 6.320000461834324597e+02 9.000000000000000000e+01
3.160000000000000000e+03 6.320000109427987809e+02 9.000000000000000000e+01
7.623858814699103732e+02 8.543781583939121447e+02 9.000000000000000000e+01
1.155824449371297533e+03 1.308717799607026564e+03 9.000000000000000000e+01
1.850743347708675628e+03 1.695675924060408533e+03 9.000000000000000000e+01
2.430157029674809110e+03 1.711840963949386150e+03 9.000000000000000000e+01
3.015299502887075505e+03 8.392942249106504278e+02 9.000000000000000000e+01
6.320000407130704616e+02 1.070959893339926566e+03 9.000000000000000000e+01
1.425910852463692208e+03 2.459575073170352880e+03 9.000000000000000000e+01
1.986873622802296040e+03 1.908693294725919941e+03 9.000000000000000000e+01
2.566879256827139216e+03 1.924501437253045196e+03 9.000000000000000000e+01
3.160000000000000000e+03 2.723003940993551169e+03 9.000000000000000000e+01
1.033674712671062252e+03 2.185976525177453368e+03 9.000000000000000000e+01
1.563820917930698897e+03 2.678035569108553318e+03 9.000000000000000000e+01
2.130395073534448784e+03 2.400559863650798434e+03 9.000000000000000000e+01
2.706471406109235431e+03 2.136557672293704400e+03 9.000000000000000000e+01
3.032820763212146630e+03 2.941483420591820959e+03 9.000000000000000000e+01
6.320000000000000000e+02 3.160000000000000000e+03 9.000000000000000000e+01
1.304296420058810554e+03 2.681200383404775039e+03 9.000000000000000000e+01
1.723617206930301563e+03 3.160000000000000000e+03 9.000000000000000000e+01
2.302311435479575721e+03 3.093459108666532757e+03 9.000000000000000000e+01
2.905705064587832112e+03 3.160000000000000000e+03 9.000000000000000000e+01
