# turbineX, turbineY, turbineZ
1.360688138983320641e+03 6.320000000001840590e+02 9.000000000000000000e+01
1.899441627182754701e+03 6.320000000002576144e+02 9.000000000000000000e+01
2.437587607123170528e+03 6.320000000001164153e+02 9.000000000000000000e+01
2.721385786975391056e+03 6.532381318840722315e+02 9.000000000000000000e+01
3.145908047749408070e+03 6.320000000003294645e+02 9.000000000000000000e+01
7.474598282100570259e+02 6.320000000001840590e+02 9.000000000000000000e+01
1.236685750393085982e+03 1.500443193759413589e+03 9.000000000000000000e+01
1.775358599967269811e+03 1.393333834074306196e+03 9.000000000000000000e+01
2.313874629707434906e+03 1.375662870329264251e+03 9.000000000000000000e+01
3.003310744915210762e+03 1.258292779745276903e+03 9.000000000000000000e+01
6.319999999999998863e+02 8.568944967881603816e+02 9.000000000000000000e+01
9.790903775411112520e+02 2.051078500378539502e+03 9.000000000000000000e+01
1.512596501784326620e+03 1.879530318156594831e+03 9.000000000000000000e+01
2.052767865766069917e+03 2.036972205555581240e+03 9.000000000000000000e+01
3.160000000000000000e+03 3.160000000000000000e+03 9.000000000000000000e+01
1.115703589464657171e+03 2.263786023527207817e+03 9.000000000000000000e+01
1.653771289406597134e+03 2.344375248628755799e+03 9.000000000000000000e+01
2.189937328117174729e+03 2.249320690695047233e+03 9.000000000000000000e+01
2.594313156125365822e+03 2.457452819702475153e+03 9.000000000000000000e+01
2.874465668947555059e+03 2.747855586974470953e+03 9.000000000000000000e+01
6.319999999999998863e+02 3.160000000000000000e+03 9.000000000000000000e+01
8.546337509030438468e+02 2.913460289194641518e+03 9.000000000000000000e+01
1.385924133312051936e+03 3.160000000000000000e+03 9.000000000000000000e+01
1.924771721198739215e+03 3.160000000000000000e+03 9.000000000000000000e+01
2.468449773300448214e+03 3.160000000000000000e+03 9.000000000000000000e+01
