# turbineX, turbineY, turbineZ
9.103331554007409068e+02 6.204443027687458425e+02 9.000000000000000000e+01
1.625155970593458278e+03 7.083896103546832137e+02 9.000000000000000000e+01
2.230209180871702756e+03 6.661249158137071618e+02 9.000000000000000000e+01
2.708351013580982908e+03 6.826551712774075895e+02 9.000000000000000000e+01
3.159999999993896381e+03 5.838772048880753118e+02 9.000000000000000000e+01
6.363684860210048555e+02 1.201933289791107882e+03 9.000000000000000000e+01
1.073843491282390005e+03 1.349230341039444056e+03 9.000000000000000000e+01
1.891149145290096840e+03 1.229867196078432698e+03 9.000000000000000000e+01
2.550810098943045432e+03 9.870363565377624582e+02 9.000000000000000000e+01
2.951496568408355415e+03 1.338599868568708871e+03 9.000000000000000000e+01
4.686815452628300136e+02 5.893607909891619556e+02 9.000000000000000000e+01
1.218253336800936040e+03 1.912419384529767513e+03 9.000000000000000000e+01
1.773949246245143058e+03 1.940901750268684282e+03 9.000000000000000000e+01
2.355776888241664437e+03 2.025901212162101274e+03 9.000000000000000000e+01
2.831326061417108576e+03 1.932900340989733650e+03 9.000000000000000000e+01
7.902615244688167877e+02 2.700374837348279016e+03 9.000000000000000000e+01
1.497861794648309342e+03 2.765990845369576618e+03 9.000000000000000000e+01
2.148329189003368811e+03 2.758113046105580452e+03 9.000000000000000000e+01
2.639675842616526552e+03 2.827444972557088022e+03 9.000000000000000000e+01
3.101377056249516500e+03 3.408781836435366586e+03 9.000000000000000000e+01
3.087807296294365642e+02 3.222436173279297236e+03 9.000000000000000000e+01
9.449240603155386680e+02 3.235046821690855268e+03 9.000000000000000000e+01
1.370991234938412163e+03 2.991177689298100177e+03 9.000000000000000000e+01
2.029011473681277948e+03 3.135099994565512588e+03 9.000000000000000000e+01
2.505561494007317378e+03 3.161060648721042980e+03 9.000000000000000000e+01
