# turbineX, turbineY, turbineZ
7.648341830591822372e+02 7.652690114723149009e+02 1.500000000000000000e+02
1.032357546517512219e+03 7.743603596355114860e+02 8.465395368528554343e+01
1.346472502333896728e+03 8.826481245881643645e+02 1.500000000000000000e+02
1.764016288302784460e+03 7.646321569388893522e+02 8.465395368528554343e+01
2.141740354907718483e+03 7.605483019819031369e+02 1.500000000000000000e+02
7.647048364115721597e+02 1.126862261579526603e+03 8.465395368528554343e+01
1.071379245969650356e+03 1.176275608493645677e+03 1.500000000000000000e+02
1.796617462326872555e+03 1.070214529011679815e+03 8.465395368528554343e+01
2.180529842241147435e+03 1.070968506756722491e+03 1.500000000000000000e+02
2.240075999101461548e+03 1.323821580949134841e+03 8.465395368528554343e+01
7.681242349749018103e+02 1.511082890107512412e+03 1.500000000000000000e+02
1.157158020770431449e+03 1.602475006572259872e+03 8.465395368528554343e+01
1.676476857379822377e+03 1.541755824864802435e+03 1.500000000000000000e+02
1.933750223054640401e+03 1.538498669433366331e+03 8.465395368528554343e+01
2.246658039207370621e+03 1.640929243367176923e+03 1.500000000000000000e+02
7.646069120719375860e+02 1.819005116315366877e+03 8.465395368528554343e+01
1.144799534462629708e+03 2.117813736134856754e+03 1.500000000000000000e+02
1.517122794687700207e+03 1.847395733051216894e+03 8.465395368528554343e+01
1.841024833856892428e+03 1.902855650534814231e+03 1.500000000000000000e+02
2.209241502586692150e+03 2.012069565308240044e+03 8.465395368528554343e+01
7.658988450280220377e+02 2.269744462512385780e+03 1.500000000000000000e+02
1.319578452768039824e+03 2.549770827576189276e+03 8.465395368528554343e+01
1.611878588757949956e+03 2.171698589731530774e+03 1.500000000000000000e+02
1.907001990865075413e+03 2.183043598447696240e+03 8.465395368528554343e+01
2.276524580965059613e+03 2.278832636691065545e+03 1.500000000000000000e+02
