# turbineX, turbineY, turbineZ
3.165210304287604686e+02 3.165232275285897572e+02 1.396896302479526355e+02
6.791015547913715409e+02 3.163889176427364873e+02 7.348272359188472080e+01
1.000461174524874309e+03 3.164154507403749790e+02 1.396896302479526355e+02
1.319061550469053827e+03 3.164272838272726744e+02 7.348272359188472080e+01
1.577465266834765089e+03 3.164504390331222794e+02 1.396896302479526355e+02
3.163554990333552155e+02 6.729765119135325904e+02 7.348272359188472080e+01
6.825663828996252960e+02 6.758650702326045803e+02 1.396896302479526355e+02
1.002461037354954783e+03 6.779141306468858375e+02 7.348272359188472080e+01
1.326232360187575978e+03 6.786688922926658734e+02 1.396896302479526355e+02
1.577134293510544239e+03 6.884972838645890079e+02 7.348272359188472080e+01
3.163657238961936287e+02 9.918177909043957925e+02 1.396896302479526355e+02
6.777095325592441668e+02 9.989061102915748052e+02 7.348272359188472080e+01
1.000645912812254096e+03 9.989459329812661963e+02 1.396896302479526355e+02
1.319228825031744236e+03 1.003862906248598847e+03 7.348272359188472080e+01
1.577098346225103114e+03 1.013921419945915204e+03 1.396896302479526355e+02
3.163794762047737095e+02 1.311464785087712471e+03 7.348272359188472080e+01
6.803838499607363701e+02 1.315440278226725241e+03 1.396896302479526355e+02
9.975580961963149775e+02 1.320495455283017236e+03 7.348272359188472080e+01
1.319201735057902852e+03 1.321980174904690102e+03 1.396896302479526355e+02
1.577671211682604280e+03 1.326867812499250476e+03 7.348272359188472080e+01
3.164465545080223592e+02 1.577365955147623708e+03 1.396896302479526355e+02
6.768273619699976962e+02 1.577610545897196516e+03 7.348272359188472080e+01
9.949103551689186133e+02 1.577875053824295264e+03 1.396896302479526355e+02
1.319931609072647461e+03 1.577379450953389096e+03 7.348272359188472080e+01
1.577451770520438458e+03 1.578541591087991264e+03 1.396896302479526355e+02
