# turbineX, turbineY, turbineZ
9.729312535819650520e+02 1.009718958660114119e+01 1.400474598771016588e+02
1.379119451166673798e+03 3.034984432521296238e+00 7.342327205479477925e+01
1.975268013023294543e+03 1.410446457189885550e+01 1.400474598771016588e+02
7.546900988846513201e+02 4.393047973734081779e+02 7.342327205479477925e+01
1.113632741112784061e+03 3.172438071211118995e+02 1.400474598771016588e+02
1.718802765204412935e+03 3.323889271518131068e+02 7.342327205479477925e+01
2.338806856661440179e+03 3.627284939161434068e+02 1.400474598771016588e+02
2.926248531460663798e+03 4.599928355038939003e+02 7.342327205479477925e+01
5.033015942095667583e+02 9.336814161939511223e+02 1.400474598771016588e+02
8.565905174168323128e+02 8.012748643629244043e+02 7.342327205479477925e+01
1.446407714047985110e+03 8.112250626902746262e+02 1.400474598771016588e+02
2.061545054937572786e+03 8.466349095935049718e+02 7.342327205479477925e+01
2.676630929884088346e+03 8.818836280820540878e+02 1.400474598771016588e+02
3.306784859059638165e+03 9.273216356711243407e+02 7.342327205479477925e+01
2.518350432382333679e+02 1.428245107567943023e+03 1.400474598771016588e+02
5.994915546616431357e+02 1.295202647981636801e+03 7.342327205479477925e+01
1.179311559397678593e+03 1.300226069196185335e+03 1.400474598771016588e+02
1.779243280848067116e+03 1.320338544445145999e+03 7.342327205479477925e+01
2.394343629547157434e+03 1.355700075860889456e+03 1.400474598771016588e+02
3.009296012993802378e+03 1.396013826262809516e+03 7.342327205479477925e+01
3.624382792059374424e+03 1.456546638788411883e+03 1.400474598771016588e+02
3.423726057839965620e+02 1.784182022346898520e+03 7.342327205479477925e+01
9.171050993200153698e+02 1.784299575407756947e+03 1.400474598771016588e+02
1.506944301039309721e+03 1.809398996262168794e+03 7.342327205479477925e+01
2.106919821226092608e+03 1.829561836179299007e+03 1.400474598771016588e+02
2.716879669209169151e+03 1.870009735975263538e+03 7.342327205479477925e+01
3.326816752148803062e+03 1.920368793208379884e+03 1.400474598771016588e+02
9.900892917023185191e+01 2.285968978308805163e+03 7.342327205479477925e+01
6.448091465383129162e+02 2.273106563836850000e+03 1.400474598771016588e+02
1.229793531119782074e+03 2.283019482236160457e+03 7.342327205479477925e+01
1.819574272746934867e+03 2.308309393338464361e+03 1.400474598771016588e+02
2.424439067294200868e+03 2.343638205090912379e+03 7.342327205479477925e+01
3.024195481096220647e+03 2.389174245026124936e+03 1.400474598771016588e+02
3.604143337573959798e+03 2.434592350956621885e+03 7.342327205479477925e+01
2.196845864929415626e+01 2.801948207853354234e+03 1.400474598771016588e+02
3.829279147552373388e+02 2.757230132867787233e+03 7.342327205479477925e+01
9.524321068117337745e+02 2.767152313592753671e+03 1.400474598771016588e+02
1.537164190336438651e+03 2.777378284844419341e+03 7.342327205479477925e+01
2.132050018864678350e+03 2.812705110847066408e+03 1.400474598771016588e+02
2.726950688993442327e+03 2.848070409551243301e+03 7.342327205479477925e+01
3.291609400368616662e+03 2.893385909397835348e+03 1.400474598771016588e+02
1.103444773537118664e+02 3.245985130014838433e+03 7.342327205479477925e+01
6.752030221564215253e+02 3.251127983134279020e+03 1.400474598771016588e+02
1.254931975014788804e+03 3.261089771250732156e+03 7.342327205479477925e+01
1.829542853395562588e+03 3.281368173154034139e+03 1.400474598771016588e+02
2.419423834060229183e+03 3.316686758820661908e+03 7.342327205479477925e+01
2.978928293476503313e+03 3.357251839805973304e+03 1.400474598771016588e+02
3.533590876071482398e+03 3.392438260633137816e+03 7.342327205479477925e+01
1.640234173215238656e+01 3.731391422967923518e+03 1.400474598771016588e+02
3.978962684508011876e+02 3.735133099541374577e+03 7.342327205479477925e+01
9.624782965933389960e+02 3.735099674632596816e+03 1.400474598771016588e+02
1.542232356739621309e+03 3.750298770054943361e+03 7.342327205479477925e+01
2.106776284786438737e+03 3.785709324322460816e+03 1.400474598771016588e+02
2.666385679136533327e+03 3.816050863800169282e+03 7.342327205479477925e+01
1.765222475561512283e+02 4.181716006399299658e+03 1.400474598771016588e+02
6.750889797872659983e+02 4.209051772615649497e+03 7.342327205479477925e+01
1.249991848413528942e+03 4.224168850841539097e+03 1.400474598771016588e+02
1.809522447629136650e+03 4.244470061031699515e+03 7.342327205479477925e+01
9.473033034675760291e+02 4.693081174945903513e+03 1.400474598771016588e+02
1.506955352040023399e+03 4.713280321611323416e+03 7.342327205479477925e+01
