# turbineX, turbineY, turbineZ
1.130466478025988408e+03 1.130466477911265429e+03 1.103702738541663564e+02
1.321849856093756443e+03 1.130466496169515040e+03 1.002061102280071481e+02
1.513233239410945771e+03 1.130466470151858630e+03 1.103702738541663564e+02
1.704616565558123511e+03 1.130466478025989318e+03 1.002061102280071481e+02
1.895999964508850326e+03 1.130466477911263382e+03 1.103702738541663564e+02
1.130466488295382533e+03 1.321849855979033237e+03 1.002061102280071481e+02
1.321849866363150340e+03 1.321849874237283075e+03 1.103702738541663564e+02
1.513233249680340350e+03 1.321849848219626892e+03 1.002061102280071481e+02
1.704616575827516044e+03 1.321849856093757353e+03 1.103702738541663564e+02
1.895999964508852827e+03 1.321849855979032782e+03 1.002061102280071481e+02
1.130466472661841181e+03 1.513233239296222564e+03 1.103702738541663564e+02
1.321849866363150340e+03 1.513233257554472630e+03 1.002061102280071481e+02
1.513233249680339441e+03 1.513233231536815765e+03 1.103702738541663564e+02
1.704616575827515817e+03 1.513233239410946680e+03 1.002061102280071481e+02
1.895999964508852599e+03 1.513233239296221882e+03 1.103702738541663564e+02
1.130466470151857948e+03 1.704616565443400077e+03 1.002061102280071481e+02
1.321849848219626210e+03 1.704616583701647414e+03 1.103702738541663564e+02
1.513233231536815993e+03 1.704616557683993733e+03 1.002061102280071481e+02
1.704616557683993506e+03 1.704616565558124194e+03 1.103702738541663564e+02
1.895999964508852145e+03 1.704616565443398940e+03 1.002061102280071481e+02
1.130466478025985452e+03 1.895999964508853054e+03 1.103702738541663564e+02
1.321849856093754852e+03 1.895999964508850098e+03 1.002061102280071481e+02
1.513233239410945089e+03 1.895999964508852372e+03 1.103702738541663564e+02
1.704616565558122602e+03 1.895999964508850098e+03 1.002061102280071481e+02
1.895999964508850553e+03 1.895999964508853054e+03 1.103702738541663564e+02
