# turbineX, turbineY, turbineZ
2.766576693389047250e+03 2.213448124437519709e+03 1.201348085850853380e+02
2.833824968369663111e+03 1.078894087975107823e+03 7.342900377628841113e+01
3.368406586452200827e+03 1.229982784823771681e+03 1.201348085850853380e+02
3.212678076814303495e+03 7.790975510305095213e+02 7.342900377628841113e+01
3.191019198501509891e+03 2.071838462628767047e+03 1.201348085850853380e+02
1.164935001559113289e+03 1.207770278337115769e+03 7.342900377628841113e+01
3.162335520426671337e+03 1.648824847002460501e+03 1.201348085850853380e+02
3.032785954724656222e+03 3.356206150188444553e+03 7.342900377628841113e+01
3.305859811742027887e+03 2.714365542425572585e+03 1.201348085850853380e+02
3.229576471948102153e+03 3.154541862524828503e+03 7.342900377628841113e+01
2.472579320353596358e+03 1.094183616929648906e+03 1.201348085850853380e+02
7.865263437855186339e+02 1.247150990522604616e+03 7.342900377628841113e+01
1.213166969039143851e+03 8.888181174098257316e+02 1.201348085850853380e+02
1.630635809614129812e+03 3.195572969774200374e+03 7.342900377628841113e+01
2.953137396901816828e+03 2.821188448219639213e+03 1.201348085850853380e+02
1.191246028049819643e+03 2.690973414000898629e+03 7.342900377628841113e+01
2.331455749616131016e+03 1.986682575562449756e+03 1.201348085850853380e+02
2.691193384276025427e+03 3.156439595085186738e+03 7.342900377628841113e+01
1.275460188220319878e+03 2.180243244695307112e+03 1.201348085850853380e+02
2.702087859979192217e+03 1.878155783059127771e+03 7.342900377628841113e+01
1.528593249917350931e+03 8.337206816793957387e+02 1.201348085850853380e+02
1.699724022438043903e+03 2.937532039957472534e+03 7.342900377628841113e+01
2.641227608435360253e+03 3.412998403198799679e+03 1.201348085850853380e+02
1.606091313084073363e+03 2.458783853846201055e+03 7.342900377628841113e+01
2.697050482038161135e+03 7.231142629977535989e+02 1.201348085850853380e+02
