# turbineX, turbineY, turbineZ
2.737764001933118379e+03 1.561959675791643804e+03 1.096470483467455921e+02
2.481675391536008647e+03 2.542017155488946628e+03 1.096470483467455921e+02
3.158483252722148336e+03 2.403894800224148639e+03 1.096470483467455921e+02
2.982496469634473669e+03 1.625364061825627687e+03 1.096470483467455921e+02
3.159940065233884070e+03 1.445256677905912284e+03 1.096470483467455921e+02
1.606509657913570663e+03 3.101670745279275707e+03 1.096470483467455921e+02
2.241586240684980112e+03 2.842590409385757994e+03 1.096470483467455921e+02
2.972324547676251768e+03 2.574945328380663796e+03 1.096470483467455921e+02
1.354448526086307766e+03 3.080658506433692764e+03 1.096470483467455921e+02
1.102530972813431845e+03 3.059137996016684610e+03 1.096470483467455921e+02
1.852807987462621213e+03 3.158806663933216896e+03 1.096470483467455921e+02
2.731077806570313896e+03 2.499345907026549867e+03 1.096470483467455921e+02
2.927032003399796395e+03 7.841265200639498971e+02 1.096470483467455921e+02
2.025423425215373982e+03 2.974069755520406488e+03 1.096470483467455921e+02
2.489879516345715729e+03 2.794772414141182253e+03 1.096470483467455921e+02
2.917269819960762106e+03 2.328201867431190294e+03 1.096470483467455921e+02
6.320126785819234101e+02 2.907199643582038334e+03 1.096470483467455921e+02
6.320213075166083172e+02 3.159999826752783974e+03 1.096470483467455921e+02
8.509489210172953335e+02 3.033591823891670174e+03 1.096470483467455921e+02
2.915038744151976061e+03 1.381722630849251345e+03 1.096470483467455921e+02
3.103429768688397417e+03 2.157150078113597829e+03 1.096470483467455921e+02
1.779131240823807502e+03 2.916940465974130802e+03 1.096470483467455921e+02
3.129160371334946831e+03 6.320003428882747585e+02 1.096470483467455921e+02
3.092484844947726742e+03 1.201616462248233347e+03 1.096470483467455921e+02
3.159841362257644050e+03 8.831117168656930971e+02 1.096470483467455921e+02
