# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000000455e+02 1.254963337665170258e+02
6.320000000000005684e+02 3.792000000000005002e+02 7.320000000000000284e+01
1.006004707463691034e+03 3.792000000000000455e+02 1.254963337665170258e+02
1.595206381291122852e+03 3.792000000000000455e+02 7.320000000000000284e+01
1.896000000000000000e+03 3.792000000000000455e+02 1.254963337665170258e+02
3.792000000000000455e+02 6.987145298966984228e+02 7.320000000000000284e+01
6.545757873346556153e+02 9.022725683171353239e+02 1.254963337665170258e+02
8.497549247928126306e+02 7.416084898140007908e+02 7.320000000000000284e+01
1.649145166088236465e+03 6.535018213662392554e+02 1.254963337665170258e+02
1.896000000000000000e+03 7.963568948501164186e+02 7.320000000000000284e+01
3.875259306682796705e+02 1.160467146242564695e+03 1.254963337665170258e+02
7.205118403641358782e+02 1.330287285636976549e+03 7.320000000000000284e+01
1.027587861666336721e+03 1.188757229672840822e+03 1.254963337665170258e+02
1.602261764517295205e+03 9.019163676697971823e+02 7.320000000000000284e+01
1.895999999999999773e+03 1.199239878501285602e+03 1.254963337665170258e+02
3.792000000000000455e+02 1.455249230971837051e+03 7.320000000000000284e+01
6.102721506243537988e+02 1.557784699307214169e+03 1.254963337665170258e+02
1.122851772679167425e+03 1.591087911138148229e+03 7.320000000000000284e+01
1.613526808947269274e+03 1.315094090681777288e+03 1.254963337665170258e+02
1.844895628918704688e+03 1.591232461082478494e+03 7.320000000000000284e+01
3.792000000000001023e+02 1.896000000000000000e+03 1.254963337665170258e+02
9.509273027765586903e+02 1.895999999999999318e+03 7.320000000000000284e+01
1.267247503344485494e+03 1.850247799689593421e+03 1.254963337665170258e+02
1.528080876236050472e+03 1.697632579388200611e+03 7.320000000000000284e+01
1.858302678495101645e+03 1.896000000000000000e+03 1.254963337665170258e+02
