# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.896332120817051532e+02 1.169977544298002101e+02
6.433748489877198153e+02 3.792000000000004434e+02 1.169977544298002101e+02
1.136267078620333905e+03 4.082831548474185297e+02 1.169977544298002101e+02
1.640765338448333750e+03 3.792000000000000455e+02 1.169977544298002101e+02
1.896000000000000000e+03 3.792000000000002160e+02 1.169977544298002101e+02
3.792000000000000455e+02 7.949860518156623357e+02 1.169977544298002101e+02
5.916718718837369124e+02 6.580056825809218708e+02 1.169977544298002101e+02
1.171915496688976418e+03 7.892888080984008639e+02 1.169977544298002101e+02
1.653684423336226473e+03 8.399048789694335255e+02 1.169977544298002101e+02
1.896000000000000000e+03 7.678562597317021527e+02 1.169977544298002101e+02
3.792000000000002728e+02 1.176579170194255539e+03 1.169977544298002101e+02
6.294749535689602453e+02 1.104955408620936396e+03 1.169977544298002101e+02
1.140676183214341791e+03 1.100842096006866086e+03 1.169977544298002101e+02
1.627812222770894778e+03 1.131834226155770466e+03 1.169977544298002101e+02
1.896000000000000000e+03 1.144830392710120350e+03 1.169977544298002101e+02
3.792000000000002160e+02 1.548210243241644548e+03 1.169977544298002101e+02
7.617426592587407868e+02 1.415913999842079193e+03 1.169977544298002101e+02
1.169725816462108241e+03 1.519086712026773739e+03 1.169977544298002101e+02
1.662458317491836169e+03 1.573003960936786370e+03 1.169977544298002101e+02
1.895999999999999773e+03 1.476225226203329157e+03 1.169977544298002101e+02
3.792000000000001023e+02 1.896000000000000000e+03 1.169977544298002101e+02
8.706163670831607533e+02 1.895999999999999545e+03 1.169977544298002101e+02
1.122709966385501275e+03 1.877114588333848815e+03 1.169977544298002101e+02
1.642141415794330669e+03 1.896000000000000000e+03 1.169977544298002101e+02
1.896000000000000000e+03 1.896000000000000000e+03 1.169977544298002101e+02
