# turbineX, turbineY, turbineZ
3.792000000000005571e+02 4.723892568257186326e+02 1.252251544639467369e+02
6.574898039911341812e+02 3.792000000000000455e+02 1.139131483821412303e+02
1.060502047008987574e+03 3.792000000000000455e+02 1.252251544639467369e+02
1.609087826301160703e+03 4.025109027172759397e+02 1.139131483821412303e+02
1.895999999999999545e+03 3.792000000000000455e+02 1.252251544639467369e+02
3.792000000000000455e+02 7.251892568257192124e+02 1.139131483821412303e+02
8.563639787191345931e+02 7.486161006944411156e+02 1.252251544639467369e+02
1.125106986457195489e+03 6.392515073858687629e+02 1.139131483821412303e+02
1.357535681212513737e+03 5.056129074740268834e+02 1.252251544639467369e+02
1.896000000000000000e+03 9.565918064412264812e+02 1.139131483821412303e+02
3.792000000000000455e+02 1.161447582324679388e+03 1.252251544639467369e+02
6.401376521584166994e+02 1.104216802151931688e+03 1.139131483821412303e+02
1.137612183897570503e+03 1.182643713496474902e+03 1.252251544639467369e+02
1.550786189094120800e+03 1.062917554726700246e+03 1.139131483821412303e+02
1.895999999999999545e+03 1.338619690978596054e+03 1.252251544639467369e+02
3.792000000000001023e+02 1.562682735372914294e+03 1.139131483821412303e+02
6.606883715882269144e+02 1.395973149713013299e+03 1.252251544639467369e+02
1.235275722685103574e+03 1.560312860509113762e+03 1.139131483821412303e+02
1.502719891213352412e+03 1.574831901669601848e+03 1.252251544639467369e+02
1.896000000000000000e+03 1.598001281835011923e+03 1.139131483821412303e+02
3.792000000000005002e+02 1.895999999999999545e+03 1.252251544639467369e+02
9.282869138446811803e+02 1.896000000000000000e+03 1.139131483821412303e+02
1.231457599610183024e+03 1.896000000000000000e+03 1.252251544639467369e+02
1.643200000000000728e+03 1.896000000000000000e+03 1.139131483821412303e+02
1.896000000000000000e+03 1.896000000000000000e+03 1.252251544639467369e+02
