# turbineX, turbineY, turbineZ
3.792000000000001023e+02 3.792000000000000455e+02 9.578401789619866236e+01
6.275613047723568343e+02 4.491259282093007528e+02 9.578401789619866236e+01
1.117729195584830904e+03 3.792000000000000455e+02 9.578401789619866236e+01
1.604022640816989224e+03 3.792084982582858856e+02 9.578401789619866236e+01
1.896000000000000000e+03 3.792000000000000455e+02 9.578401789619866236e+01
3.792000000000000455e+02 7.896797753161164337e+02 9.578401789619866236e+01
6.270680528365675173e+02 7.399879857165708472e+02 9.578401789619866236e+01
1.131384183503997974e+03 8.014595221616598337e+02 9.578401789619866236e+01
1.592779597286145417e+03 6.855194313992782327e+02 9.578401789619866236e+01
1.894713977956842427e+03 7.619845059877458198e+02 9.578401789619866236e+01
3.792000000000000455e+02 1.169247432841505088e+03 9.578401789619866236e+01
6.534387393164955711e+02 1.111206136113667299e+03 9.578401789619866236e+01
1.102280587554904059e+03 1.150857586318301401e+03 9.578401789619866236e+01
1.626191126984557741e+03 1.137794124335707465e+03 9.578401789619866236e+01
1.895999999999988859e+03 1.139327201542966804e+03 9.578401789619866236e+01
3.792000000000000455e+02 1.555553392001047087e+03 9.578401789619866236e+01
7.822160766368732538e+02 1.437791913103396837e+03 9.578401789619866236e+01
1.159555803605935807e+03 1.502396356100405455e+03 9.578401789619866236e+01
1.604545223602034639e+03 1.479494212353368766e+03 9.578401789619866236e+01
1.896000000000000000e+03 1.532824996193350671e+03 9.578401789619866236e+01
3.792000000000000455e+02 1.896000000000000000e+03 9.578401789619866236e+01
8.135916113358708799e+02 1.896000000000000000e+03 9.578401789619866236e+01
1.133817918142361350e+03 1.896000000000000000e+03 9.578401789619866236e+01
1.626381371573821752e+03 1.895999999999999773e+03 9.578401789619866236e+01
1.896000000000000000e+03 1.876283407068324777e+03 9.578401789619866236e+01
