# turbineX, turbineY, turbineZ
3.918400000000000887e+02 3.918400000000000318e+02 9.000000000000000000e+01
7.495000251548498227e+02 3.918400000000000318e+02 9.000000000000000000e+01
1.156694667901553430e+03 3.918400000000000318e+02 9.000000000000000000e+01
1.690548335662794216e+03 3.918400000000000318e+02 9.000000000000000000e+01
1.959200000000000045e+03 3.918400000000002592e+02 9.000000000000000000e+01
3.918400000000000318e+02 6.677160842516165076e+02 9.000000000000000000e+01
7.860294529747291108e+02 6.419868935875612124e+02 9.000000000000000000e+01
1.197598134541682157e+03 6.413089628417718586e+02 9.000000000000000000e+01
1.707306720285512256e+03 7.388233659251259269e+02 9.000000000000000000e+01
1.959199999999999818e+03 7.602157340228105795e+02 9.000000000000000000e+01
3.918400000000000318e+02 1.095302668990966367e+03 9.000000000000000000e+01
6.962894191402757542e+02 1.115508847831078128e+03 9.000000000000000000e+01
1.160513203861050897e+03 1.156227748226120411e+03 9.000000000000000000e+01
1.591326822733871268e+03 1.196468498980855884e+03 9.000000000000000000e+01
1.959200000000000045e+03 1.314807150588503418e+03 9.000000000000000000e+01
3.918400000000000318e+02 1.591690815397258120e+03 9.000000000000000000e+01
6.422948487162781248e+02 1.626044991402530968e+03 9.000000000000000000e+01
1.088643706572889187e+03 1.711596776470350051e+03 9.000000000000000000e+01
1.557851214823251894e+03 1.703059318952254444e+03 9.000000000000000000e+01
1.959200000000000045e+03 1.696939296282445412e+03 9.000000000000000000e+01
3.918400000000001455e+02 1.959200000000000045e+03 9.000000000000000000e+01
6.664501677204144698e+02 1.959200000000000045e+03 9.000000000000000000e+01
1.139639038634471035e+03 1.959200000000000045e+03 9.000000000000000000e+01
1.595790564027125356e+03 1.959200000000000045e+03 9.000000000000000000e+01
1.959199999999999818e+03 1.959200000000000045e+03 9.000000000000000000e+01
