# turbineX, turbineY, turbineZ
3.160000000000000000e+02 3.160000000000000000e+02 1.391894644252625426e+02
5.688000000000000682e+02 3.160000000000000000e+02 7.320000000000000284e+01
8.471968181506015299e+02 3.160000000000000000e+02 1.391894644252625426e+02
1.282596619876636396e+03 3.160000000000000000e+02 7.320000000000000284e+01
1.580000000000000000e+03 3.160000000000000000e+02 1.391894644252625426e+02
3.160000000000000568e+02 5.687999999999999545e+02 7.320000000000000284e+01
6.331969037723279143e+02 5.604605742212709174e+02 1.391894644252625426e+02
9.324769415976777509e+02 5.539816093252057954e+02 7.320000000000000284e+01
1.327231197887985218e+03 5.648284682786534177e+02 1.391894644252625426e+02
1.580000000000000000e+03 5.687999999999998408e+02 7.320000000000000284e+01
3.160000000000000000e+02 8.737883932920094594e+02 1.391894644252625426e+02
5.550300054521343327e+02 9.560836626879163305e+02 7.320000000000000284e+01
9.196567644878193732e+02 9.444818410415484777e+02 1.391894644252625426e+02
1.344448039665493752e+03 9.342907246044405838e+02 7.320000000000000284e+01
1.580000000000000000e+03 1.027597074474329247e+03 1.391894644252625426e+02
3.160000000000000000e+02 1.327199999999999818e+03 7.320000000000000284e+01
5.679290403020440863e+02 1.348166699983468334e+03 1.391894644252625426e+02
9.189632358989292698e+02 1.345749244234309117e+03 7.320000000000000284e+01
1.231482720096393450e+03 1.341319007143884846e+03 1.391894644252625426e+02
1.580000000000000000e+03 1.326172341158453946e+03 7.320000000000000284e+01
3.160000000000000000e+02 1.580000000000000000e+03 1.391894644252625426e+02
6.687317456797783279e+02 1.580000000000000000e+03 7.320000000000000284e+01
1.014013003049953795e+03 1.580000000000000000e+03 1.391894644252625426e+02
1.314784740342088071e+03 1.580000000000000000e+03 7.320000000000000284e+01
1.580000000000000000e+03 1.580000000000000000e+03 1.391894644252625426e+02
