# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000000455e+02 9.084134498883614128e+01
6.009795285504392268e+02 3.792000000000000455e+02 7.320000000000000284e+01
1.014019112854212722e+03 3.792000000000000455e+02 9.084134498883614128e+01
1.492080191731721243e+03 3.792000000000000455e+02 7.320000000000000284e+01
1.942598165892597763e+03 3.792000000000000455e+02 9.084134498883614128e+01
2.329931685559446123e+03 3.792000000000000455e+02 7.320000000000000284e+01
2.654400000000000091e+03 3.792000000000000455e+02 9.084134498883614128e+01
3.792000000000000455e+02 8.200929695957797776e+02 7.320000000000000284e+01
3.792000000000000455e+02 6.107294590763533506e+02 9.084134498883614128e+01
1.036128685353293122e+03 6.129136478619552690e+02 7.320000000000000284e+01
1.541134305158222560e+03 6.722955282057546356e+02 9.084134498883614128e+01
1.919848926992868655e+03 5.796134368064845148e+02 7.320000000000000284e+01
2.393675164325045444e+03 6.308412822409379714e+02 9.084134498883614128e+01
2.654400000000000091e+03 5.776002313298175750e+02 7.320000000000000284e+01
3.792000000000000455e+02 1.341640558162922162e+03 9.084134498883614128e+01
3.792000000000000455e+02 1.030800128580849560e+03 7.320000000000000284e+01
1.076232908105329216e+03 9.628171741214390522e+02 9.084134498883614128e+01
1.580986606022777323e+03 1.012973110955724223e+03 7.320000000000000284e+01
1.959327888957348705e+03 9.517842278027380871e+02 9.084134498883614128e+01
2.412400992277148816e+03 1.026960219481537479e+03 7.320000000000000284e+01
2.654400000000000091e+03 1.061814128878558449e+03 9.084134498883614128e+01
3.792000000000000455e+02 1.560734638682501100e+03 7.320000000000000284e+01
7.378820518705360882e+02 1.468999741013772791e+03 9.084134498883614128e+01
1.115161796965012854e+03 1.439551551264232103e+03 7.320000000000000284e+01
1.467779828855559344e+03 1.559008914768345448e+03 9.084134498883614128e+01
1.917466317537199984e+03 1.571699177471138455e+03 7.320000000000000284e+01
2.654400000000000091e+03 1.626252229594415212e+03 9.084134498883614128e+01
2.654335887234219626e+03 1.428793530830445889e+03 7.320000000000000284e+01
3.792000000000000455e+02 1.963366271939847820e+03 9.084134498883614128e+01
3.832010727519610214e+02 1.773551935348782308e+03 7.320000000000000284e+01
1.039833085961430015e+03 1.972091599228157520e+03 9.084134498883614128e+01
1.456317822142826344e+03 2.143271634761115365e+03 7.320000000000000284e+01
1.964093871392309211e+03 2.046233261338217972e+03 9.084134498883614128e+01
2.654400000000000091e+03 2.060864123308849230e+03 7.320000000000000284e+01
2.654400000000000091e+03 1.864964078920656448e+03 9.084134498883614128e+01
3.792000000000001023e+02 2.368090445184765940e+03 7.320000000000000284e+01
5.266824049582786529e+02 2.311407309328296378e+03 9.084134498883614128e+01
1.061960226177071263e+03 2.433506140711032003e+03 7.320000000000000284e+01
1.505547609396697226e+03 2.459548140462015454e+03 9.084134498883614128e+01
1.982006550087412279e+03 2.432874933889871045e+03 7.320000000000000284e+01
2.654400000000000091e+03 2.436942025818867023e+03 9.084134498883614128e+01
2.654400000000000091e+03 2.247540831739416262e+03 7.320000000000000284e+01
3.792000000000000455e+02 2.654400000000000091e+03 9.084134498883614128e+01
5.703334911538858023e+02 2.654400000000000091e+03 7.320000000000000284e+01
1.085296700335624337e+03 2.654400000000000091e+03 9.084134498883614128e+01
1.542678598325142275e+03 2.654400000000000091e+03 7.320000000000000284e+01
2.022245041680315580e+03 2.654400000000000091e+03 9.084134498883614128e+01
2.426902712479346519e+03 2.654400000000000091e+03 7.320000000000000284e+01
2.654400000000000091e+03 2.654400000000000091e+03 9.084134498883614128e+01
