# turbineX, turbineY, turbineZ
1.213398652865207168e+03 7.064380488695350095e+02 1.351255621221074534e+02
1.764180181720429346e+03 1.577792597130989183e-02 7.320000000000000284e+01
2.677071102604698353e+03 1.586534789835163800e-02 1.351255621221074534e+02
2.181468987479544523e+02 2.745812553263410223e+02 7.320000000000000284e+01
1.426659484137821892e+03 7.858091978047415660e-02 1.351255621221074534e+02
1.962176216502594116e+03 4.108496426142188511e+02 7.320000000000000284e+01
2.719630870800870525e+03 3.354495498624035577e+02 1.351255621221074534e+02
3.667651833786036605e+03 1.186776174549004850e+02 7.320000000000000284e+01
3.129133077842486159e+02 7.832062086640819416e+02 1.351255621221074534e+02
6.866392786624616065e+02 9.716241666528890164e+02 7.320000000000000284e+01
1.802822733405896770e+03 8.085482693775642247e+02 1.351255621221074534e+02
2.468375380158057396e+03 1.059836642911934632e+03 7.320000000000000284e+01
3.137497330857137513e+03 1.154910477090582845e+03 1.351255621221074534e+02
3.754186823087453377e+03 1.090501470914863148e+03 7.320000000000000284e+01
5.380231259311623049e+00 1.245322391129318930e+03 1.351255621221074534e+02
8.932398307507023674e+02 1.478962922040254398e+03 7.320000000000000284e+01
1.307237807599928828e+03 1.356006456876338689e+03 1.351255621221074534e+02
2.041090454520972344e+03 1.434442947545416018e+03 7.320000000000000284e+01
2.652237792792144774e+03 1.624943313802807097e+03 1.351255621221074534e+02
3.316270512847510417e+03 1.594519231214437013e+03 7.320000000000000284e+01
3.800914000000000215e+03 1.718497506420071659e+03 1.351255621221074534e+02
3.238516134878845492e+02 1.811432912523570621e+03 7.320000000000000284e+01
1.119525934794422255e+03 1.982801537281446599e+03 1.351255621221074534e+02
1.752300055795370326e+03 1.981132281124192787e+03 7.320000000000000284e+01
2.363577487880806530e+03 2.078652673295250224e+03 1.351255621221074534e+02
3.002985138276668749e+03 2.063698135245429967e+03 7.320000000000000284e+01
3.587726980363086113e+03 2.063588826427462664e+03 1.351255621221074534e+02
1.599892567191129808e-02 2.114505986449605643e+03 7.320000000000000284e+01
5.736028549790009947e+02 2.304727397836143609e+03 1.351255621221074534e+02
1.302087168363621458e+03 2.360359547499188011e+03 7.320000000000000284e+01
1.822048098130346943e+03 2.378872865655121132e+03 1.351255621221074534e+02
2.510742264796704603e+03 2.541186285000585485e+03 7.320000000000000284e+01
3.194659910221592781e+03 2.534741218370133083e+03 1.351255621221074534e+02
3.800914000000000215e+03 2.752052742303155810e+03 7.320000000000000284e+01
1.401926302205222328e+02 2.856255081816705115e+03 1.351255621221074534e+02
6.160714239602581301e+02 2.992036479809214597e+03 7.320000000000000284e+01
1.026011085066587157e+03 3.087200889568994171e+03 1.351255621221074534e+02
1.766211241011571474e+03 3.002463068361513706e+03 7.320000000000000284e+01
2.376781479922607105e+03 3.330663872529446053e+03 1.351255621221074534e+02
3.061031481551401612e+03 3.387794023692139035e+03 7.320000000000000284e+01
3.779040966420826862e+03 3.350872325409731275e+03 1.351255621221074534e+02
4.416917883948461565e+01 3.241723385627639800e+03 7.320000000000000284e+01
6.571084781319366357e+02 3.273612730412762630e+03 1.351255621221074534e+02
1.518905711593880596e+03 3.371207603310909690e+03 7.320000000000000284e+01
1.962315416656820162e+03 3.534902384110894218e+03 1.351255621221074534e+02
2.735105701861762554e+03 3.647700033832752069e+03 7.320000000000000284e+01
3.412557347729017238e+03 3.739005248941557966e+03 1.351255621221074534e+02
3.800914000000000215e+03 3.731189401282144900e+03 7.320000000000000284e+01
1.869047929548236908e+01 3.862944485403116232e+03 1.351255621221074534e+02
4.632147774098693276e+02 4.022854900310931498e+03 7.320000000000000284e+01
9.165040672031387885e+02 4.166289130996738095e+03 1.351255621221074534e+02
1.566362603879906828e+03 4.199326789052662207e+03 7.320000000000000284e+01
2.412670610581259552e+03 4.334667347580361820e+03 1.351255621221074534e+02
2.799162322371810660e+03 4.515744515524793314e+03 7.320000000000000284e+01
1.604652599524348036e-02 4.842628096941291915e+03 1.351255621221074534e+02
6.207286328646061975e+02 4.668345204484347960e+03 7.320000000000000284e+01
1.630637445665087398e+03 4.677588246191929102e+03 1.351255621221074534e+02
2.298835457951588978e+03 4.830752032101821897e+03 7.320000000000000284e+01
8.436485175077846179e+02 4.889770000000000437e+03 1.351255621221074534e+02
1.638568314339542894e+03 4.889770000000000437e+03 7.320000000000000284e+01
