# turbineX, turbineY, turbineZ
3.920588647891484584e+02 4.031705160715915781e+02 9.246868485949435978e+01
7.253882709671964903e+02 3.964230166937189210e+02 9.246868485949435978e+01
1.137499776349668537e+03 3.968430123831844867e+02 9.246868485949435978e+01
1.550796342455397280e+03 3.946813380233723478e+02 9.246868485949435978e+01
1.955219838345964718e+03 3.979881156860469105e+02 9.246868485949435978e+01
3.960864339200314816e+02 7.290771190141032321e+02 9.246868485949435978e+01
7.643472206274049086e+02 7.091877495996445759e+02 9.246868485949435978e+01
1.185635358508981426e+03 7.139911867297136041e+02 9.246868485949435978e+01
1.593305793811670583e+03 7.380817753349799659e+02 9.246868485949435978e+01
1.956701841354499265e+03 7.456443944245166904e+02 9.246868485949435978e+01
3.966414304402458697e+02 1.119463586446486033e+03 9.246868485949435978e+01
7.705572523714898807e+02 1.159022229425609794e+03 9.246868485949435978e+01
1.163701216581307790e+03 1.120351763805386781e+03 9.246868485949435978e+01
1.617329510594508292e+03 1.163872575201526615e+03 9.246868485949435978e+01
1.955504269853536698e+03 1.193270448714687291e+03 9.246868485949435978e+01
3.952308334320624112e+02 1.533135914400787897e+03 9.246868485949435978e+01
7.199120876586623581e+02 1.549497726105377296e+03 9.246868485949435978e+01
1.105575850618734194e+03 1.627289023466564458e+03 9.246868485949435978e+01
1.569679879212197875e+03 1.629256997904915352e+03 9.246868485949435978e+01
1.948402154876673194e+03 1.587697487859139301e+03 9.246868485949435978e+01
3.919878115407313430e+02 1.959161014989111209e+03 9.246868485949435978e+01
7.574963258500222310e+02 1.958781230486431696e+03 9.246868485949435978e+01
1.172800892392016294e+03 1.957144646048861659e+03 9.246868485949435978e+01
1.603016635103971112e+03 1.954521120707266391e+03 9.246868485949435978e+01
1.959139610927100875e+03 1.946440791599024806e+03 9.246868485949435978e+01
