# turbineX, turbineY, turbineZ
4.998417290536768292e+02 3.792000000000001023e+02 9.588777328320460924e+01
8.563292640569092100e+02 3.792000000000000455e+02 7.320000000000000284e+01
1.268568388742904290e+03 3.792000000000000455e+02 9.588777328320460924e+01
1.631201650154466961e+03 4.930884070803070927e+02 7.320000000000000284e+01
1.895999999999999773e+03 5.927677900321887137e+02 9.588777328320460924e+01
3.792000000000000455e+02 6.854969267762826348e+02 7.320000000000000284e+01
6.980690851728845701e+02 8.503911737912413855e+02 9.588777328320460924e+01
1.059448926697011757e+03 7.508749200239755055e+02 7.320000000000000284e+01
1.539335911160629394e+03 7.835915182150387182e+02 9.588777328320460924e+01
1.896000000000000000e+03 8.997624483148649688e+02 7.320000000000000284e+01
4.012409479809831510e+02 9.933357503799735468e+02 9.588777328320460924e+01
7.750479428259876613e+02 1.209052427039940540e+03 7.320000000000000284e+01
1.129250275756342262e+03 1.104289022053623285e+03 9.588777328320460924e+01
1.453523388849668891e+03 1.021381474107283111e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.280769665943537120e+03 9.588777328320460924e+01
3.792000000000001023e+02 1.376741259215920081e+03 7.320000000000000284e+01
9.305413693459736351e+02 1.638511233385381502e+03 9.588777328320460924e+01
1.225372625929022206e+03 1.501466346692729076e+03 7.320000000000000284e+01
1.614750596210363483e+03 1.428596504488897153e+03 9.588777328320460924e+01
1.858072232919084399e+03 1.547161698140661201e+03 7.320000000000000284e+01
3.792000000000000455e+02 1.729607297943154435e+03 9.588777328320460924e+01
6.257514945305641731e+02 1.785466387902480619e+03 7.320000000000000284e+01
1.040672145382800636e+03 1.896000000000000000e+03 9.588777328320460924e+01
1.365363427087735317e+03 1.896000000000000000e+03 7.320000000000000284e+01
1.754863370363477998e+03 1.814308955165647603e+03 9.588777328320460924e+01
