# turbineX, turbineY, turbineZ
1.740622331016066937e+03 6.229195800150230298e+02 9.444165325916465292e+01
1.971016504016793533e+03 5.188129532635093710e+02 9.444165325961326118e+01
2.211999917228826689e+03 4.424040791354875068e+02 9.444165325916465292e+01
2.131480355539635184e+03 8.287932169381469976e+02 9.444165325961326118e+01
1.868725169552263196e+03 9.386580300993674655e+02 9.444165325916465292e+01
1.161388508129527281e+03 4.424099145512406608e+02 9.444165325961326118e+01
1.232718358218721278e+03 7.307889720664632023e+02 9.444165325916465292e+01
9.177504977777545037e+02 1.383149133211130220e+03 9.444165325961326118e+01
7.002569989878102206e+02 2.211998043111644165e+03 9.444165325916465292e+01
2.077327857320014118e+03 1.466862733328765444e+03 9.444165325961326118e+01
5.126517079070157479e+02 8.128503916651725376e+02 9.444165325916465292e+01
4.424012106729488778e+02 5.698640294178044314e+02 9.444165325961326118e+01
2.197184652889607150e+03 1.750258184727531216e+03 9.444165325916465292e+01
1.481617941236863317e+03 1.141676370741600977e+03 9.444165325961326118e+01
1.629378652224654616e+03 1.833328595612921845e+03 9.444165325916465292e+01
1.952477301014612294e+03 1.686752098213677527e+03 9.444165325961326118e+01
8.220541409155703150e+02 6.677358470736511435e+02 9.444165325916465292e+01
4.565080396636549267e+02 1.261065923898107940e+03 9.444165325961326118e+01
1.587891774701675558e+03 2.211299842552852169e+03 9.444165325916465292e+01
8.046081066873215377e+02 1.981495889058429157e+03 9.444165325961326118e+01
1.087000887247169430e+03 1.049776697267652708e+03 9.444165325916465292e+01
6.217230599367878767e+02 1.573734211370144294e+03 9.444165325961326118e+01
5.612448667761536854e+02 1.913045832222518811e+03 9.444165325916465292e+01
1.034416237523439349e+03 2.086853161623187589e+03 9.444165325961326118e+01
2.052983334859509796e+03 2.085090353151080308e+03 9.444165325916465292e+01
