# turbineX, turbineY, turbineZ
8.216000000000001364e+02 8.216000000000000227e+02 9.444165325859233917e+01
1.748731050465573162e+03 8.216000000000000227e+02 9.354602915970971821e+01
2.423255272113442970e+03 9.345428602357351338e+02 9.444165325859233917e+01
3.514918690058078028e+03 8.216000000000000227e+02 9.354602915970971821e+01
4.108000000000000000e+03 1.033001845194787620e+03 9.444165325859233917e+01
9.430662728720478754e+02 1.161218298747515064e+03 9.354602915970971821e+01
1.267011765872804062e+03 1.672249545386679756e+03 9.444165325859233917e+01
2.041158537379287509e+03 1.522378317711692262e+03 9.354602915970971821e+01
3.239102056174762765e+03 1.311579780698847571e+03 9.444165325859233917e+01
4.108000000000000000e+03 1.962460481513307968e+03 9.354602915970971821e+01
1.051263223285400954e+03 1.804009000088452694e+03 9.444165325859233917e+01
1.378669381960375404e+03 2.588528466890928485e+03 9.354602915970971821e+01
2.430339427807466564e+03 2.432942418882387301e+03 9.444165325859233917e+01
3.169069863705489752e+03 2.262571057411764741e+03 9.354602915970971821e+01
4.108000000000000000e+03 2.712263935060927452e+03 9.444165325859233917e+01
9.459766660856947738e+02 2.846332054054100809e+03 9.354602915970971821e+01
1.496964985531944421e+03 3.578961540517071626e+03 9.444165325859233917e+01
2.578032961310929750e+03 3.141079588107185373e+03 9.354602915970971821e+01
3.319654319835581646e+03 2.992964352371024233e+03 9.444165325859233917e+01
4.108000000000000000e+03 3.386300541654331937e+03 9.354602915970971821e+01
8.216000000000000227e+02 3.872770015063603296e+03 9.444165325859233917e+01
1.215238757955463598e+03 4.065507261074076268e+03 9.354602915970971821e+01
2.213218304975031515e+03 3.712462871457000801e+03 9.444165325859233917e+01
3.034646584977427665e+03 3.976013850164967607e+03 9.354602915970971821e+01
3.905249718892040164e+03 4.108000000000000000e+03 9.444165325859233917e+01
