# turbineX, turbineY, turbineZ
8.848000000000000682e+02 8.848857553723032652e+02 9.444165338201955251e+01
1.617799397580618006e+03 8.852636935950796442e+02 9.442894425491813593e+01
2.567778909874469264e+03 8.852929770639635763e+02 9.444165338201955251e+01
3.501363737647382095e+03 8.848155905125362324e+02 9.442894425491813593e+01
4.424000000000000000e+03 8.848000000000000682e+02 9.444165338201955251e+01
8.848000000000000682e+02 1.692588206514667718e+03 9.442894425491813593e+01
1.704703870538310639e+03 1.725187802652317032e+03 9.444165338201955251e+01
2.665047201745795974e+03 1.747283933202393428e+03 9.442894425491813593e+01
3.596424346560217145e+03 1.729913946822894331e+03 9.444165338201955251e+01
4.424000000000000000e+03 1.814711995753178371e+03 9.442894425491813593e+01
8.848000000000000682e+02 2.742286363712647926e+03 9.444165338201955251e+01
1.665235522484869989e+03 2.775575868307134442e+03 9.442894425491813593e+01
2.667514195014596680e+03 2.653108432308911233e+03 9.444165338201955251e+01
3.669768974524935857e+03 2.586808143461742930e+03 9.442894425491813593e+01
4.424000000000000000e+03 2.621415160571032629e+03 9.444165338201955251e+01
8.848052600048033582e+02 3.515355850043752071e+03 9.442894425491813593e+01
1.747268095725768262e+03 3.604102595784265759e+03 9.444165338201955251e+01
2.689164847351983553e+03 3.623184981188989696e+03 9.442894425491813593e+01
3.628770066178825800e+03 3.586220074052664131e+03 9.444165338201955251e+01
4.424000000000000000e+03 3.642534838058976675e+03 9.442894425491813593e+01
8.848000000000000682e+02 4.424000000000000000e+03 9.444165338201955251e+01
1.830333253517033199e+03 4.424000000000000000e+03 9.442894425491813593e+01
2.778353761541519361e+03 4.423712752196191104e+03 9.444165338201955251e+01
3.663487367154772983e+03 4.424000000000000000e+03 9.442894425491813593e+01
4.424000000000000000e+03 4.423999999999999091e+03 9.444165338201955251e+01
