# turbineX, turbineY, turbineZ
3.792000000000000455e+02 6.320000000000001137e+02 9.617270378490816540e+01
3.792000000000000455e+02 3.792000000000000455e+02 7.320000000000000284e+01
3.792000000000000455e+02 1.390400000002286333e+03 9.617270378490816540e+01
1.390400000000000318e+03 3.792000000000000455e+02 7.320000000000000284e+01
1.896000000000000000e+03 3.792000000000000455e+02 9.617270378490816540e+01
9.719736708256018574e+02 3.792000000000001023e+02 7.320000000000000284e+01
8.275642508986828716e+02 9.295120732835116542e+02 9.617270378490816540e+01
1.137600000001684066e+03 1.896000000000000000e+03 7.320000000000000284e+01
1.643200000000000273e+03 3.792000000000000455e+02 9.617270378490816540e+01
1.896000000000000000e+03 8.846105381587423153e+02 7.320000000000000284e+01
7.191736496803497403e+02 3.792000000000000455e+02 9.617270378490816540e+01
1.049297707695332747e+03 8.075895897124711382e+02 7.320000000000000284e+01
1.414599380575947862e+03 6.308438308599230595e+02 9.617270378490816540e+01
1.896000000000000000e+03 1.137410673658104088e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.390210672696991196e+03 9.617270378490816540e+01
3.792000000000000455e+02 1.643200000002286288e+03 7.320000000000000284e+01
3.792010837347455663e+02 1.137600000001143144e+03 9.617270378490816540e+01
3.792000000000000455e+02 8.848000000000001819e+02 7.320000000000000284e+01
1.643200000104253149e+03 1.896000000000000227e+03 9.617270378490816540e+01
1.896000000000000000e+03 1.643010671675927370e+03 7.320000000000000284e+01
3.792000000000000455e+02 1.896000000000000000e+03 9.617270378490816540e+01
6.320000000010400072e+02 1.896000000000000000e+03 7.320000000000000284e+01
8.848000000013161070e+02 1.896000000000000000e+03 9.617270378490816540e+01
1.390400000002144225e+03 1.896000000000000000e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.895810670337735019e+03 9.617270378490816540e+01
