# turbineX, turbineY, turbineZ
6.320000000000001137e+02 6.320000000000002274e+02 9.453711945699036789e+01
1.185679588065920598e+03 6.320000000000026148e+02 9.463631142572818078e+01
1.857073307060458546e+03 6.320000000000000000e+02 9.453711945699036789e+01
2.514843046848389804e+03 6.320000000000009095e+02 9.463631142572818078e+01
3.160000000000000000e+03 6.319999999999974989e+02 9.453711945699036789e+01
6.319999999999981810e+02 1.207231033232830669e+03 9.463631142572818078e+01
1.283298613610838174e+03 1.241278505544146356e+03 9.453711945699036789e+01
1.922496148630029211e+03 1.160954711374685758e+03 9.463631142572818078e+01
2.603400846755161183e+03 1.231053668759790980e+03 9.453711945699036789e+01
3.160000000000000000e+03 1.257482201791005537e+03 9.463631142572818078e+01
6.320000000000000000e+02 1.861863149482890321e+03 9.453711945699036789e+01
1.217497369646912830e+03 1.922932798403900961e+03 9.463631142572818078e+01
1.908788935413175523e+03 1.870685341265478883e+03 9.453711945699036789e+01
2.607867300146221169e+03 1.889209063033448729e+03 9.463631142572818078e+01
3.160000000000000000e+03 1.919930880777103084e+03 9.453711945699036789e+01
6.319999999999998863e+02 2.527695654201080288e+03 9.463631142572818078e+01
1.220340611218008689e+03 2.572507104524564511e+03 9.453711945699036789e+01
1.878179973807560827e+03 2.574368592613917372e+03 9.463631142572818078e+01
2.528245092239936184e+03 2.616761416214122164e+03 9.453711945699036789e+01
3.160000000000000000e+03 2.582625544751670986e+03 9.463631142572818078e+01
6.319999999999965894e+02 3.160000000000000000e+03 9.453711945699036789e+01
1.299412211600940282e+03 3.160000000000000000e+03 9.463631142572818078e+01
1.915062992874729844e+03 3.160000000000000000e+03 9.453711945699036789e+01
2.583517824682795435e+03 3.160000000000000000e+03 9.463631142572818078e+01
3.160000000000000000e+03 3.160000000000000000e+03 9.453711945699036789e+01
