# turbineX, turbineY, turbineZ
4.481723431448102133e+02 4.516031633765250604e+02 1.225414584284328754e+02
8.337207706471349411e+02 4.455496783058895858e+02 1.225414584284328754e+02
1.313281266413918274e+03 4.500843491087702546e+02 1.225414584284328754e+02
1.791410476389932910e+03 4.428654355395436255e+02 1.225414584284328754e+02
2.209708437474525908e+03 4.458424453353534318e+02 1.225414584284328754e+02
4.646828787263722234e+02 8.065440314759905505e+02 1.225414584284328754e+02
9.039826719770347836e+02 8.130339335870709192e+02 1.225414584284328754e+02
1.374490336926559849e+03 8.102751701890705363e+02 1.225414584284328754e+02
1.855137604565553602e+03 8.284160616784093918e+02 1.225414584284328754e+02
2.210778924190918133e+03 8.874670844039469557e+02 1.225414584284328754e+02
4.432063118659625616e+02 1.306573188391301755e+03 1.225414584284328754e+02
8.598496394841382653e+02 1.336043037858423759e+03 1.225414584284328754e+02
1.328609037984309452e+03 1.290647875689197008e+03 1.225414584284328754e+02
1.841785148236556779e+03 1.329933149933999175e+03 1.225414584284328754e+02
2.208899203505655350e+03 1.381617778507329376e+03 1.225414584284328754e+02
4.429138943169767799e+02 1.783097293120889162e+03 1.225414584284328754e+02
8.367313452823236730e+02 1.810359248085609579e+03 1.225414584284328754e+02
1.243764714656032083e+03 1.860232544352968716e+03 1.225414584284328754e+02
1.774451653591621380e+03 1.838555047855920748e+03 1.225414584284328754e+02
2.207653499429288331e+03 1.848090564402629298e+03 1.225414584284328754e+02
4.491519222860519562e+02 2.204517597342183763e+03 1.225414584284328754e+02
8.544527060136446153e+02 2.209090410689644614e+03 1.225414584284328754e+02
1.327104800911411076e+03 2.209525191724402248e+03 1.225414584284328754e+02
1.806935234355227749e+03 2.210791384983735497e+03 1.225414584284328754e+02
2.210606098793626643e+03 2.206777537379961359e+03 1.225414584284328754e+02
