# turbineX, turbineY, turbineZ
7.193493124578753850e+02 6.962489884461640486e+02 1.239567960712986121e+02
1.386269410380190266e+03 6.979358385746379554e+02 7.526564237348931385e+01
2.325448672960088516e+03 7.174602026300078705e+02 1.239567960712986121e+02
2.916709159186048055e+03 6.969782749062014773e+02 7.526564237348931385e+01
3.375091189522355762e+03 7.414169355165838624e+02 1.239567960712986121e+02
9.186340129513839656e+02 1.551841807792350664e+03 7.526564237348931385e+01
1.223564229983269797e+03 1.465226883310379662e+03 1.239567960712986121e+02
1.735696265927086415e+03 1.293652042962995210e+03 7.526564237348931385e+01
2.969671525662747626e+03 1.012272902723223297e+03 1.239567960712986121e+02
3.432821965627248574e+03 1.650458807268664714e+03 7.526564237348931385e+01
6.961532225884969876e+02 2.008764070929561967e+03 1.239567960712986121e+02
1.095648245874162967e+03 2.177861884956406357e+03 7.526564237348931385e+01
2.203192060806712107e+03 2.029024342015167349e+03 1.239567960712986121e+02
3.113925456472330552e+03 2.003144040442967025e+03 7.526564237348931385e+01
3.473821165231318901e+03 2.053846275689213144e+03 1.239567960712986121e+02
6.966890408495896736e+02 3.105738196908007922e+03 7.526564237348931385e+01
1.185662936101805371e+03 3.096097350317763812e+03 1.239567960712986121e+02
2.460601725036747212e+03 3.026362030210008470e+03 7.526564237348931385e+01
2.780356208435804092e+03 2.901885607520678604e+03 1.239567960712986121e+02
3.453722094467917941e+03 2.885370946947307402e+03 7.526564237348931385e+01
7.089663636693965145e+02 3.472044069990886328e+03 1.239567960712986121e+02
1.235914848853902640e+03 3.452139800623148858e+03 7.526564237348931385e+01
2.086126946465500623e+03 3.475579463896157904e+03 1.239567960712986121e+02
2.497764663080803530e+03 3.461420818004039120e+03 7.526564237348931385e+01
3.475903009648711759e+03 3.471074721174021306e+03 1.239567960712986121e+02
