# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000001023e+02 1.367728369430674320e+02
6.320000000000000000e+02 3.791999999999999886e+02 1.367728369430674320e+02
1.170424112146367861e+03 3.792000000000001023e+02 1.367728369430674320e+02
1.492930231947869515e+03 4.610900917576410052e+02 1.367728369430674320e+02
1.895999999999999773e+03 3.792000000000000455e+02 1.367728369430674320e+02
4.237885895277193526e+02 6.976589997778451107e+02 1.367728369430674320e+02
8.893120658672038417e+02 8.089338851469273095e+02 1.367728369430674320e+02
1.124295336161835621e+03 6.824035205244650797e+02 1.367728369430674320e+02
1.670929401767259833e+03 7.886165487381281309e+02 1.367728369430674320e+02
1.896000000000000000e+03 6.735032747891538065e+02 1.367728369430674320e+02
3.936059436179416480e+02 1.040584847840225848e+03 1.367728369430674320e+02
6.986758181544651052e+02 1.105124658017753973e+03 1.367728369430674320e+02
1.172381298875825223e+03 1.029836569263855154e+03 1.367728369430674320e+02
1.560612540708711322e+03 1.281898293041919032e+03 1.367728369430674320e+02
1.895999999999999773e+03 1.072591831794171640e+03 1.367728369430674320e+02
3.792000000000000455e+02 1.628767613365063653e+03 1.367728369430674320e+02
7.822903061638565987e+02 1.643401351386209171e+03 1.367728369430674320e+02
1.124809287332415352e+03 1.672233946959330751e+03 1.367728369430674320e+02
1.419278553174975286e+03 1.528875699247694683e+03 1.367728369430674320e+02
1.895999999999999773e+03 1.343571484110156689e+03 1.367728369430674320e+02
3.792000000000001023e+02 1.891894754916499778e+03 1.367728369430674320e+02
7.923780602851677486e+02 1.895999999999999773e+03 1.367728369430674320e+02
1.304847442436356914e+03 1.896000000000000000e+03 1.367728369430674320e+02
1.628752732445638230e+03 1.895999999999999773e+03 1.367728369430674320e+02
1.884694769700045299e+03 1.896000000000000000e+03 1.367728369430674320e+02
