# turbineX, turbineY, turbineZ
3.163091094795313438e+02 3.160461546426021755e+02 7.320000000000000284e+01
7.290735389346780266e+02 3.161038787565176449e+02 1.254743654561507924e+02
9.818758995035187809e+02 3.160000000000001705e+02 7.320000000000000284e+01
1.327199192448972781e+03 3.160269255919894249e+02 1.254743654561507924e+02
1.579999999999999545e+03 3.160000000000000568e+02 7.320000000000000284e+01
3.159999999999999432e+02 8.912936400962586276e+02 1.254743654561507924e+02
3.159999999999998863e+02 5.688632073907422182e+02 7.320000000000000284e+01
5.885888510649650698e+02 5.262826731023847060e+02 1.254743654561507924e+02
1.167567176834681277e+03 5.120642739846024369e+02 7.320000000000000284e+01
1.579999999999999773e+03 7.626009729988704748e+02 1.254743654561507924e+02
4.737445228296488722e+02 1.088845060438456585e+03 7.320000000000000284e+01
5.404085571930261267e+02 7.747072246595740808e+02 1.254743654561507924e+02
9.336033745096457324e+02 6.078259683667931768e+02 7.320000000000000284e+01
1.343492453562833589e+03 8.518964455803421743e+02 1.254743654561507924e+02
1.579742317216544961e+03 1.089549523193819141e+03 7.320000000000000284e+01
3.179101648202776573e+02 1.327154327329081752e+03 1.254743654561507924e+02
5.684157772108083009e+02 1.361184108651652195e+03 7.320000000000000284e+01
7.172569621465260070e+02 1.156827846405458786e+03 1.254743654561507924e+02
1.336593042814888577e+03 1.159168628864040329e+03 7.320000000000000284e+01
1.518431790670772443e+03 1.334805906617190658e+03 1.254743654561507924e+02
3.159999999999999432e+02 1.579954463554266340e+03 7.320000000000000284e+01
8.170857818529212864e+02 1.580000000000000227e+03 1.254743654561507924e+02
1.069888721210383210e+03 1.579852131693384308e+03 7.320000000000000284e+01
1.336812590254656470e+03 1.510935839259061822e+03 1.254743654561507924e+02
1.579999999999999773e+03 1.579999999999999773e+03 7.320000000000000284e+01
