# turbineX, turbineY, turbineZ
6.393286043081835714e+02 1.144965807892081784e+03 9.471852646186817992e+01
5.783176089102130391e+02 1.437587118981341973e+03 9.471852646186817992e+01
3.860165032855340428e+02 4.148286072345085245e+02 9.471852646186817992e+01
1.088430984643346619e+03 5.421415196631398885e+02 9.471852646186817992e+01
1.410910169568523770e+03 3.958637031305183314e+02 9.471852646186817992e+01
1.874089378054035024e+03 6.307250316001529882e+02 9.471852646186817992e+01
1.438901205877920120e+03 1.044087115750730391e+03 9.471852646186817992e+01
7.814118982859686184e+02 9.269493227603484229e+02 9.471852646186817992e+01
1.817757017169526080e+03 3.797628159624160844e+02 9.471852646186817992e+01
1.649446621100691118e+03 8.135271013143783421e+02 9.471852646186817992e+01
4.410024483039903203e+02 9.011188237628902016e+02 9.471852646186817992e+01
1.190996383048675852e+03 1.407503851001644762e+03 9.471852646186817992e+01
1.340447940107965451e+03 8.027387660163296914e+02 9.471852646186817992e+01
1.617495975869104541e+03 5.553099840809372836e+02 9.471852646186817992e+01
1.750084607971800096e+03 1.464312917496161845e+03 9.471852646186817992e+01
1.537882102922874537e+03 1.318006801152256685e+03 9.471852646186817992e+01
8.647558655281600295e+02 1.865168984756014879e+03 9.471852646186817992e+01
1.336190734188680608e+03 1.667356272944462944e+03 9.471852646186817992e+01
9.093414214361628183e+02 1.226217704455554440e+03 9.471852646186817992e+01
1.889518401305049110e+03 1.677968163212895206e+03 9.471852646186817992e+01
3.900585187351954914e+02 1.259966675287736734e+03 9.471852646186817992e+01
4.685934089689346820e+02 1.680416464582028766e+03 9.471852646186817992e+01
6.092611209071523035e+02 1.892941721263843419e+03 9.471852646186817992e+01
7.241875716110839676e+02 1.650617947848922086e+03 9.471852646186817992e+01
1.633507451317269670e+03 1.701448730604958200e+03 9.471852646186817992e+01
