# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000000455e+02 1.114489732710130596e+02
6.320000000000001137e+02 3.792000000000000455e+02 1.114489732710130596e+02
1.170673924355799272e+03 3.792000000000000455e+02 1.114489732710130596e+02
1.493093984384140185e+03 4.608442248908074248e+02 1.114489732710130596e+02
1.895999999999999773e+03 3.792000000000000455e+02 1.114489732710130596e+02
4.238250745637845966e+02 6.974881769460348551e+02 1.114489732710130596e+02
8.892649353172749898e+02 8.088114020512263096e+02 1.114489732710130596e+02
1.124625717007404546e+03 6.819304821986562501e+02 1.114489732710130596e+02
1.671070647976809141e+03 7.884464616277991809e+02 1.114489732710130596e+02
1.895999999999999773e+03 6.730574387561160847e+02 1.114489732710130596e+02
3.936362582833493207e+02 1.040367863889902083e+03 1.114489732710130596e+02
6.987534019002521291e+02 1.104722492130394357e+03 1.114489732710130596e+02
1.172649772937400485e+03 1.029475229154814542e+03 1.114489732710130596e+02
1.562115455643873474e+03 1.281367239973678352e+03 1.114489732710130596e+02
1.896000000000000000e+03 1.072318670072463874e+03 1.114489732710130596e+02
3.792000000000000455e+02 1.628663904665662130e+03 1.114489732710130596e+02
7.824043283520785508e+02 1.643401481675307195e+03 1.114489732710130596e+02
1.124929570500339423e+03 1.672063978061477201e+03 1.114489732710130596e+02
1.418773486377735253e+03 1.528701157834764217e+03 1.114489732710130596e+02
1.895999999999999773e+03 1.342745315548014787e+03 1.114489732710130596e+02
3.792000000000002160e+02 1.891664092696931220e+03 1.114489732710130596e+02
7.924953412038642000e+02 1.896000000000000000e+03 1.114489732710130596e+02
1.304993029080102360e+03 1.895999999999999773e+03 1.114489732710130596e+02
1.628592577881244551e+03 1.895999999999999773e+03 1.114489732710130596e+02
1.881520439071074179e+03 1.895999999999999773e+03 1.114489732710130596e+02
