# turbineX, turbineY, turbineZ
4.542289484271653350e+02 3.801445593451161926e+02 1.254962873608370018e+02
3.792023890548864529e+02 6.215614405539834024e+02 7.320000000000000284e+01
1.055946281253451161e+03 3.986627479139326056e+02 1.254962873608370018e+02
1.009193148625932849e+03 6.471076169046118594e+02 7.320000000000000284e+01
1.247727037174710858e+03 5.633758915453427107e+02 1.254962873608370018e+02
4.063674731479977140e+02 8.729084197037699369e+02 7.320000000000000284e+01
6.529712452850433237e+02 8.171743798255149613e+02 1.254962873608370018e+02
6.257885217149743085e+02 5.658283514293952976e+02 7.320000000000000284e+01
1.630498915994513709e+03 3.796181322560084368e+02 1.254962873608370018e+02
1.883238233980379846e+03 3.858585949402449842e+02 7.320000000000000284e+01
3.797076401376451713e+02 1.390381002055399449e+03 1.254962873608370018e+02
5.898792637544764830e+02 1.249875845207090151e+03 7.320000000000000284e+01
9.408196586311394185e+02 1.415632814103824558e+03 1.254962873608370018e+02
1.751464251703785976e+03 6.016170964288111236e+02 7.320000000000000284e+01
1.895980902203903725e+03 8.833342706274704597e+02 1.254962873608370018e+02
3.792373485092953160e+02 1.643192870692067800e+03 7.320000000000000284e+01
1.130585951833028048e+03 1.657285928546397372e+03 1.254962873608370018e+02
8.345457197011484141e+02 1.186186822224456364e+03 7.320000000000000284e+01
1.498563219778759048e+03 5.952767949667436369e+02 1.254962873608370018e+02
1.895995368774886401e+03 1.136135899170812991e+03 7.320000000000000284e+01
3.793285364041044545e+02 1.895999661852174995e+03 1.254962873608370018e+02
6.279784024702543093e+02 1.850353871681676083e+03 7.320000000000000284e+01
6.278869974121388395e+02 1.597547312666994458e+03 1.254962873608370018e+02
1.382575860501977559e+03 1.636849379230076693e+03 7.320000000000000284e+01
1.895999843267856704e+03 1.828745064899648696e+03 1.254962873608370018e+02
