# turbineX, turbineY, turbineZ
3.792237855509142150e+02 3.799028991329985843e+02 1.218277123956626724e+02
6.313111556385044878e+02 3.989613994630302614e+02 1.218277123956626724e+02
8.833984406888379226e+02 4.180209379377922687e+02 1.218277123956626724e+02
1.769286403301549171e+03 3.792625575047610482e+02 1.218277123956626724e+02
1.895763011218501788e+03 5.982038965876857901e+02 1.218277123956626724e+02
5.987016247459333727e+02 1.137576404828028217e+03 1.218277123956626724e+02
4.887623208422180596e+02 6.077462324133618949e+02 1.218277123956626724e+02
7.408496085390602275e+02 6.268057748175285724e+02 1.218277123956626724e+02
1.642916242863084562e+03 5.982646877771376239e+02 1.218277123956626724e+02
1.697103986452931622e+03 1.136954714883270526e+03 1.218277123956626724e+02
3.796265409491389278e+02 1.516706899629501549e+03 1.218277123956626724e+02
8.176101057022411851e+02 1.264070229004724752e+03 1.218277123956626724e+02
1.419215881036970131e+03 1.476860066588292966e+03 1.218277123956626724e+02
1.516439495658059514e+03 3.793227332683892428e+02 1.218277123956626724e+02
1.893202877686911734e+03 1.296607994622172328e+03 1.218277123956626724e+02
3.795314542844395191e+02 1.769513151114467973e+03 1.218277123956626724e+02
5.986072160027370046e+02 1.390382547964334435e+03 1.218277123956626724e+02
1.656975504242008128e+03 1.386719610002602394e+03 1.218277123956626724e+02
1.460875690088784950e+03 1.227057122666527675e+03 1.218277123956626724e+02
1.853118985445305270e+03 1.546241293560860186e+03 1.218277123956626724e+02
5.984219044992219096e+02 1.896000000000000227e+03 1.218277123956626724e+02
5.985167509345620829e+02 1.643191195844414779e+03 1.218277123956626724e+02
8.175125144691846799e+02 1.516878224908995890e+03 1.218277123956626724e+02
1.061626968010248447e+03 1.582728852848444376e+03 1.218277123956626724e+02
1.895999999999999545e+03 1.795479729460362250e+03 1.218277123956626724e+02
