# turbineX, turbineY, turbineZ
1.137600000000000136e+03 1.137600000000000136e+03 8.839586274960703349e+01
2.275199999999999818e+03 1.137600000000000136e+03 8.894581085447450164e+01
3.412800000000000182e+03 1.137600000000000136e+03 8.839586274960703349e+01
4.550399999999999636e+03 1.137600000000000136e+03 8.894581085447450164e+01
5.688000000000000000e+03 1.137600000000000136e+03 8.839586274960703349e+01
1.137600000000000136e+03 2.275199999999999818e+03 8.894581085447450164e+01
2.275199999999999818e+03 2.275199999999999818e+03 8.839586274960703349e+01
3.412800000000000182e+03 2.275199999999999818e+03 8.894581085447450164e+01
4.550399999999999636e+03 2.275199999999999818e+03 8.839586274960703349e+01
5.688000000000000000e+03 2.275199999999999818e+03 8.894581085447450164e+01
1.137600000000000136e+03 3.412800000000000182e+03 8.839586274960703349e+01
2.275199999999999818e+03 3.412800000000000182e+03 8.894581085447450164e+01
3.412800000000000182e+03 3.412800000000000182e+03 8.839586274960703349e+01
4.550399999999999636e+03 3.412800000000000182e+03 8.894581085447450164e+01
5.688000000000000000e+03 3.412800000000000182e+03 8.839586274960703349e+01
1.137600000000000136e+03 4.550399999999999636e+03 8.894581085447450164e+01
2.275199999999999818e+03 4.550399999999999636e+03 8.839586274960703349e+01
3.412800000000000182e+03 4.550399999999999636e+03 8.894581085447450164e+01
4.550399999999999636e+03 4.550399999999999636e+03 8.839586274960703349e+01
5.688000000000000000e+03 4.550399999999999636e+03 8.894581085447450164e+01
1.137600000000000136e+03 5.688000000000000000e+03 8.839586274960703349e+01
2.275199999999999818e+03 5.688000000000000000e+03 8.894581085447450164e+01
3.412800000000000182e+03 5.688000000000000000e+03 8.839586274960703349e+01
4.550399999999999636e+03 5.688000000000000000e+03 8.894581085447450164e+01
5.688000000000000000e+03 5.688000000000000000e+03 8.839586274960703349e+01
