# turbineX, turbineY, turbineZ
6.119383182424487586e+02 5.174658804642340328e+02 7.320000000000000284e+01
3.792000000000000455e+02 4.187673271089348077e+02 1.250267493508737715e+02
1.000350495168039515e+03 3.791999999999998181e+02 7.320000000000000284e+01
1.253156709749722950e+03 3.792000000000000455e+02 1.250267493508737715e+02
1.895999999999999773e+03 5.282370337531998530e+02 7.320000000000000284e+01
1.191534162424022952e+03 6.247037423928669568e+02 1.250267493508737715e+02
9.233779296556817826e+02 1.343587187496356137e+03 7.320000000000000284e+01
7.986869249083214299e+02 7.919278273078285793e+02 1.250267493508737715e+02
1.691803271284144785e+03 3.791999999999998749e+02 7.320000000000000284e+01
1.896000000000000000e+03 7.810370337531999212e+02 1.250267493508737715e+02
4.100937045985854184e+02 6.696738998186400522e+02 7.320000000000000284e+01
1.139032102865271099e+03 1.211667760969968185e+03 1.250267493508737715e+02
1.472479990517193755e+03 5.049201409406904872e+02 7.320000000000000284e+01
1.742067279153490745e+03 1.033579010211920831e+03 1.250267493508737715e+02
1.866913606927384762e+03 1.583160448518659678e+03 7.320000000000000284e+01
3.791999999999998749e+02 1.420891451910039905e+03 1.250267493508737715e+02
7.796022407386295754e+02 1.638970201981742775e+03 7.320000000000000284e+01
1.369900398815469543e+03 1.623078580615437659e+03 1.250267493508737715e+02
1.621761456950146339e+03 1.644877595532723944e+03 7.320000000000000284e+01
1.895999999999999773e+03 1.834282852985268391e+03 1.250267493508737715e+02
3.806319019194665429e+02 1.895999999999999773e+03 7.320000000000000284e+01
6.334319019194663269e+02 1.895999999999999773e+03 1.250267493508737715e+02
8.847745601044359773e+02 1.868860680050280507e+03 7.320000000000000284e+01
1.127086144182035014e+03 1.693432299206474227e+03 1.250267493508737715e+02
1.650847850021267732e+03 1.896000000000000000e+03 7.320000000000000284e+01
