# turbineX, turbineY, turbineZ
5.698559777170540883e+02 4.117726773491007179e+02 1.119872845831520323e+02
8.229250860630490934e+02 4.267634459381316674e+02 1.119872845831520323e+02
1.175495168276165714e+03 5.585515115258068590e+02 1.119872845831520323e+02
1.417098326861150326e+03 3.901124096674957400e+02 1.119872845831520323e+02
1.819409211572504773e+03 6.016264409023425515e+02 1.119872845831520323e+02
4.152123250012767812e+02 8.561636795154495303e+02 1.119872845831520323e+02
3.951482976319887825e+02 5.969060279879529389e+02 1.119872845831520323e+02
1.250337584238150157e+03 1.017093053258819850e+03 1.119872845831520323e+02
1.585012828083011300e+03 8.534117471460165234e+02 1.119872845831520323e+02
1.878573993375006012e+03 9.943726220489206753e+02 1.119872845831520323e+02
6.528743100989266850e+02 1.357921464684202874e+03 1.119872845831520323e+02
6.641427737900440889e+02 6.895837664149324837e+02 1.119872845831520323e+02
1.423848952684257938e+03 6.524804580846707722e+02 1.119872845831520323e+02
1.854530941889660880e+03 1.294778249437548538e+03 1.119872845831520323e+02
1.751729615023138194e+03 1.570912948830964297e+03 1.119872845831520323e+02
4.351562643205226664e+02 1.714119662624782450e+03 1.119872845831520323e+02
6.464349977767574273e+02 1.050493923173921758e+03 1.119872845831520323e+02
1.612790859273021397e+03 1.146204842094658716e+03 1.119872845831520323e+02
1.514947098463104339e+03 1.434850773506198266e+03 1.119872845831520323e+02
1.348331263000412036e+03 1.687394742361444287e+03 1.119872845831520323e+02
7.610387873358092747e+02 1.882726648687485067e+03 1.119872845831520323e+02
7.307686195822947184e+02 1.626192491579452735e+03 1.119872845831520323e+02
1.023864367850636881e+03 1.605373763302837688e+03 1.119872845831520323e+02
1.218845544660764745e+03 1.418874962719324913e+03 1.119872845831520323e+02
1.029840961673495713e+03 1.875871496248606718e+03 1.119872845831520323e+02
