# turbineX, turbineY, turbineZ
6.121269703490775100e+02 5.172500595773745999e+02 7.320000000000000284e+01
3.791999999999999318e+02 4.190008533010190490e+02 1.253792584303027411e+02
1.000317609769662454e+03 3.792005202056734561e+02 7.320000000000000284e+01
1.253117813177372682e+03 3.791999999999998181e+02 1.253792584303027411e+02
1.896000000000000000e+03 5.288124350258315189e+02 7.320000000000000284e+01
1.190370170016387647e+03 6.245002569498700495e+02 1.253792584303027411e+02
9.250219309132011176e+02 1.344649220522491760e+03 7.320000000000000284e+01
7.962811537460904674e+02 7.918321796419741077e+02 1.253792584303027411e+02
1.692225644848416323e+03 3.791999999999998181e+02 7.320000000000000284e+01
1.896000000000000000e+03 7.816124350258315872e+02 1.253792584303027411e+02
4.105771766375512470e+02 6.698461299880428896e+02 7.320000000000000284e+01
1.141433354179510161e+03 1.213980770842487345e+03 1.253792584303027411e+02
1.472671729012902915e+03 5.045155898019486358e+02 7.320000000000000284e+01
1.742616399955297538e+03 1.034343760257134818e+03 1.253792584303027411e+02
1.867462489344208279e+03 1.584101520733104508e+03 7.320000000000000284e+01
3.792046544304523081e+02 1.409740715083402392e+03 1.253792584303027411e+02
7.820297831263227408e+02 1.644244786569676535e+03 7.320000000000000284e+01
1.370318474015363790e+03 1.620708827023147023e+03 1.253792584303027411e+02
1.621993333529323991e+03 1.644539906531293809e+03 7.320000000000000284e+01
1.893458959337521264e+03 1.835561614201790917e+03 1.253792584303027411e+02
3.793053635035313960e+02 1.896000000000000000e+03 7.320000000000000284e+01
6.321053635035310663e+02 1.896000000000000000e+03 1.253792584303027411e+02
8.962670944260811439e+02 1.869762853217329166e+03 7.320000000000000284e+01
1.129714857877885379e+03 1.698292349138229383e+03 1.253792584303027411e+02
1.647989803522587408e+03 1.896000000000000000e+03 7.320000000000000284e+01
