# turbineX, turbineY, turbineZ
3.918400000000000318e+02 3.918400000000000318e+02 1.257717010285075219e+02
7.525969429077524637e+02 3.918400000000000318e+02 1.256581347618899684e+02
1.155686300793234295e+03 3.918400000000000318e+02 1.257717010285075219e+02
1.691861043680196872e+03 3.918400000000000318e+02 1.256581347618899684e+02
1.959200000000000273e+03 3.918400000000000318e+02 1.257717010285075219e+02
3.918400000000000318e+02 6.748925034433081009e+02 1.256581347618899684e+02
7.932662555769045412e+02 6.413472118157354771e+02 1.257717010285075219e+02
1.185374726913585391e+03 6.428906670764946512e+02 1.256581347618899684e+02
1.703392907960428829e+03 7.206613310967757116e+02 1.257717010285075219e+02
1.959200000000000273e+03 7.588192789516671155e+02 1.256581347618899684e+02
3.918400000000000318e+02 1.058172735843149212e+03 1.257717010285075219e+02
7.626137791910927035e+02 1.149669178461767387e+03 1.256581347618899684e+02
1.172343366881548945e+03 1.157709097644759822e+03 1.257717010285075219e+02
1.706405454240953304e+03 1.173042633336914605e+03 1.256581347618899684e+02
1.959199999999999591e+03 1.174703223218563380e+03 1.257717010285075219e+02
3.918400000000000318e+02 1.584889187002419021e+03 1.256581347618899684e+02
6.425486988679689375e+02 1.617338972096409861e+03 1.257717010285075219e+02
1.104448312492887680e+03 1.711747314352466901e+03 1.256581347618899684e+02
1.575157554359390360e+03 1.708123082774852946e+03 1.257717010285075219e+02
1.959199999991539471e+03 1.632452244837529634e+03 1.256581347618899684e+02
3.918400000000000318e+02 1.959200000000000273e+03 1.257717010285075219e+02
6.610998494761513484e+02 1.959200000000000273e+03 1.256581347618899684e+02
1.156168796181715834e+03 1.959199999999999591e+03 1.257717010285075219e+02
1.604623162963190453e+03 1.959200000000000273e+03 1.256581347618899684e+02
1.959200000000000273e+03 1.959199999999999136e+03 1.257717010285075219e+02
