# turbineX, turbineY, turbineZ
6.319999999999998863e+02 6.319999999999998863e+02 7.476459933065837049e+01
9.199330844247200503e+02 6.320000000000000000e+02 7.461178240595546640e+01
1.217390138659892955e+03 6.319999999999998863e+02 7.476459933065837049e+01
1.554121985945933375e+03 6.319999999999998863e+02 7.461178240595546640e+01
1.901322780130744604e+03 6.319999999999998863e+02 7.476459933065837049e+01
6.320000000000000000e+02 9.205541945121924527e+02 7.461178240595546640e+01
9.206370320496134809e+02 9.208291704095968271e+02 7.476459933065837049e+01
1.224784184119225074e+03 9.211199207575745049e+02 7.461178240595546640e+01
1.567988691893748182e+03 9.218125748547287230e+02 7.476459933065837049e+01
1.923124699064628430e+03 9.210741173319872814e+02 7.461178240595546640e+01
6.319999999999997726e+02 1.218806107640665005e+03 7.476459933065837049e+01
9.137750062424746602e+02 1.295834358604184445e+03 7.461178240595546640e+01
1.211215400162586548e+03 1.221203220250898994e+03 7.476459933065837049e+01
1.566000939784672937e+03 1.222048735882545088e+03 7.461178240595546640e+01
2.038563343597231778e+03 1.212545547302118621e+03 7.476459933065837049e+01
6.319999999999998863e+02 1.532595943735174615e+03 7.461178240595546640e+01
9.141459614275412378e+02 1.607570483823694303e+03 7.476459933065837049e+01
1.214846182163855474e+03 1.573826860796267056e+03 7.461178240595546640e+01
1.561481747029974940e+03 1.557413948704464019e+03 7.476459933065837049e+01
1.920731817231515606e+03 1.541675959911634891e+03 7.461178240595546640e+01
6.319999999999998863e+02 1.899976660141569027e+03 7.476459933065837049e+01
8.948773060042890393e+02 2.053287034186772871e+03 7.461178240595546640e+01
1.201174577372207978e+03 1.935832574761806882e+03 7.476459933065837049e+01
1.544282913011933033e+03 1.923864353767512284e+03 7.461178240595546640e+01
1.888624213830369172e+03 1.871364606720090705e+03 7.476459933065837049e+01
