# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000000455e+02 1.175507443863060217e+02
7.011528273063095185e+02 3.792000000000000455e+02 8.874409593200526558e+01
1.100758285082305974e+03 3.792000000000000455e+02 1.175507443863060217e+02
1.498948814233692246e+03 3.792000000000000455e+02 8.874409593200526558e+01
1.896000000000000000e+03 3.792000000000000455e+02 1.175507443863060217e+02
3.792000000000000455e+02 7.344782071135841761e+02 8.874409593200526558e+01
7.691478243417417389e+02 7.327749909237722932e+02 1.175507443863060217e+02
1.162026019988004009e+03 7.224557320046292261e+02 8.874409593200526558e+01
1.560344676946146592e+03 7.436321657212801028e+02 1.175507443863060217e+02
1.896000000000000000e+03 7.592792218463622476e+02 8.874409593200526558e+01
3.792000000000000455e+02 1.128703401555874962e+03 1.175507443863060217e+02
7.438939440850838309e+02 1.132548892583650741e+03 8.874409593200526558e+01
1.149889776223049921e+03 1.124596684439324463e+03 1.175507443863060217e+02
1.561756844195611166e+03 1.124844103652370904e+03 8.874409593200526558e+01
1.896000000000000000e+03 1.153026698388462364e+03 1.175507443863060217e+02
3.792000000000000455e+02 1.524422499951940381e+03 8.874409593200526558e+01
7.421526209182624143e+02 1.527449519386557768e+03 1.175507443863060217e+02
1.121560276329212229e+03 1.542817676621933288e+03 8.874409593200526558e+01
1.524547314108522187e+03 1.536987861414522513e+03 1.175507443863060217e+02
1.896000000000000000e+03 1.551146536336121017e+03 8.874409593200526558e+01
3.792000000000000455e+02 1.896000000000000000e+03 1.175507443863060217e+02
7.508040092494572946e+02 1.896000000000000000e+03 8.874409593200526558e+01
1.137502247319845310e+03 1.896000000000000000e+03 1.175507443863060217e+02
1.540115947179469003e+03 1.896000000000000000e+03 8.874409593200526558e+01
1.896000000000000000e+03 1.896000000000000000e+03 1.175507443863060217e+02
