# turbineX, turbineY, turbineZ
6.320000000000000000e+02 6.320000000000000000e+02 7.406633449394738022e+01
1.264000000000000000e+03 6.320000000000000000e+02 1.499094003993627098e+02
1.896000000000000000e+03 6.320000000000000000e+02 7.406633449394738022e+01
2.528000000000000000e+03 6.320000000000000000e+02 1.499094003993627098e+02
3.160000000000000000e+03 6.320000000000000000e+02 7.406633449394738022e+01
6.320000000000000000e+02 1.264000000000000000e+03 1.499094003993627098e+02
1.264000000000000000e+03 1.264000000000000000e+03 7.406633449394738022e+01
1.896000000000000000e+03 1.264000000000000000e+03 1.499094003993627098e+02
2.528000000000000000e+03 1.264000868657675710e+03 7.406633449394738022e+01
3.160000000000000000e+03 1.264000000000000000e+03 1.499094003993627098e+02
6.320000000000000000e+02 1.896000000000000000e+03 7.406633449394738022e+01
1.264000000000000000e+03 1.896000000000000000e+03 1.499094003993627098e+02
1.896000000000000000e+03 1.896000492504654403e+03 7.406633449394738022e+01
2.528000000000000000e+03 1.896000579999750016e+03 1.499094003993627098e+02
3.160000000000000000e+03 1.896000000000000000e+03 7.406633449394738022e+01
6.320000000000000000e+02 2.528000000000000000e+03 1.499094003993627098e+02
1.264000000000000000e+03 2.528000000000000000e+03 7.406633449394738022e+01
1.896000000000000000e+03 2.528000000000000000e+03 1.499094003993627098e+02
2.528000000000000000e+03 2.528000728909850295e+03 7.406633449394738022e+01
3.160000000000000000e+03 2.528000000000000000e+03 1.499094003993627098e+02
6.320000000000000000e+02 3.160000000000000000e+03 7.406633449394738022e+01
1.264000000000000000e+03 3.160000000000000000e+03 1.499094003993627098e+02
1.896000820310481004e+03 3.160000000000000000e+03 7.406633449394738022e+01
2.528000000000000000e+03 3.160000000000000000e+03 1.499094003993627098e+02
3.160000000000000000e+03 3.160000000000000000e+03 7.406633449394738022e+01
