# turbineX, turbineY, turbineZ
2.550835582657389864e+02 1.952225580042953936e+02 1.508055442207749195e+02
4.674545729406145824e+02 3.325492254196473709e+02 1.499598579440391575e+02
6.759819672137275575e+02 1.896000000000000227e+02 1.508055442207749195e+02
9.287819672229061325e+02 1.896000000000000227e+02 1.499598579440391575e+02
9.287819672229061325e+02 1.896000000000000227e+02 1.508055442207749195e+02
2.423410554630258389e+02 4.478043196433634989e+02 1.499598579440391575e+02
4.674795190657917487e+02 5.853570159040016279e+02 1.508055442207749195e+02
6.951602858902574553e+02 4.423863043489745905e+02 1.499598579440391575e+02
9.480000000000000000e+02 4.417696615955915149e+02 1.508055442207749195e+02
9.480000000000000000e+02 4.416743099704376050e+02 1.499598579440391575e+02
1.896000000000000227e+02 6.951999997107736817e+02 1.508055442207749195e+02
4.434512722504095450e+02 6.941483097111195093e+02 1.499598579440391575e+02
6.952163777418323889e+02 6.951999999806944288e+02 1.508055442207749195e+02
9.480000000000000000e+02 6.923141864671050598e+02 1.499598579440391575e+02
9.480000000000000000e+02 6.923281226141181151e+02 1.508055442207749195e+02
1.896000000000000227e+02 9.480000000000000000e+02 1.499598579440391575e+02
4.434512664569179492e+02 9.469483178121403171e+02 1.508055442207749195e+02
6.951852694533349677e+02 9.480000000000000000e+02 1.499598579440391575e+02
9.480000000000076170e+02 9.451281226554450541e+02 1.508055442207749195e+02
9.480000000000076170e+02 9.451281226554572186e+02 1.499598579440391575e+02
1.896000000000000227e+02 9.480000000000000000e+02 1.508055442207749195e+02
4.423999999999877559e+02 9.480000000000000000e+02 1.499598579440391575e+02
6.951999999999981128e+02 9.480000000000000000e+02 1.508055442207749195e+02
9.480000000000076170e+02 9.451281226554450541e+02 1.499598579440391575e+02
9.480000000000076170e+02 9.451281226554450541e+02 1.508055442207749195e+02
