# turbineX, turbineY, turbineZ
1.264000000000000000e+03 1.309341812759055983e+03 1.545744563585158176e+02
2.525919924485589490e+03 1.287991281591833285e+03 1.398537355139565079e+02
3.763536819221630594e+03 1.264000000000000000e+03 1.545744563585158176e+02
5.026366603347484670e+03 1.270840457864728251e+03 1.398537355139565079e+02
6.307478095437520096e+03 1.280900400042346291e+03 1.545744563585158176e+02
1.264000000000000000e+03 2.565193871295427471e+03 1.398537355139565079e+02
2.526509908040502978e+03 2.541986124921667397e+03 1.545744563585158176e+02
3.789130352437965030e+03 2.534344878480906118e+03 1.398537355139565079e+02
5.041680074550416975e+03 2.511821856138500607e+03 1.545744563585158176e+02
6.313045604632664435e+03 2.517133743376824896e+03 1.398537355139565079e+02
1.264000000000000000e+03 3.821864309372100251e+03 1.545744563585158176e+02
2.520151806451266566e+03 3.806356920050213830e+03 1.398537355139565079e+02
3.796284776827639689e+03 3.793964454005043990e+03 1.545744563585158176e+02
5.062989081530787189e+03 3.774013709426336845e+03 1.398537355139565079e+02
6.320000000000000000e+03 3.753120342344664095e+03 1.545744563585158176e+02
1.271500667511415259e+03 5.062225280490464684e+03 1.398537355139565079e+02
2.555607582304658081e+03 5.067506044673913493e+03 1.545744563585158176e+02
3.804892072614763492e+03 5.061244219498828897e+03 1.398537355139565079e+02
5.067264338737067192e+03 5.034297042871147823e+03 1.545744563585158176e+02
6.320000000000000000e+03 5.010278675859676696e+03 1.398537355139565079e+02
1.266245763418271963e+03 6.290617061075055062e+03 1.545744563585158176e+02
2.558433662490330335e+03 6.312330698688977463e+03 1.398537355139565079e+02
3.823202536557642361e+03 6.320000000000000000e+03 1.545744563585158176e+02
5.061189047278012367e+03 6.286005886877029297e+03 1.398537355139565079e+02
6.320000000000000000e+03 6.263661607219960388e+03 1.545744563585158176e+02
