# turbineX, turbineY, turbineZ
2.721334951923297922e+03 6.320000000000000000e+02 9.000000000000000000e+01
8.547576030453091107e+02 1.026823290405282705e+03 9.000000000000000000e+01
2.941059824375855442e+03 7.570152807787416123e+02 9.000000000000000000e+01
3.160000000000000000e+03 8.833997715549201075e+02 9.000000000000000000e+01
3.160000000000000000e+03 1.521750348535117837e+03 9.000000000000000000e+01
6.320000000000000000e+02 9.072955099921967985e+02 9.000000000000000000e+01
8.548550013123619919e+02 1.410738547223272462e+03 9.000000000000000000e+01
2.941115554131882163e+03 1.142469364356827327e+03 9.000000000000000000e+01
3.160000000000000000e+03 1.268950348535117882e+03 9.000000000000000000e+01
3.160000000000000000e+03 2.231686340135378487e+03 9.000000000000000000e+01
6.320000000000000000e+02 1.291392460599119204e+03 9.000000000000000000e+01
6.320000000000000000e+02 1.627744158616097366e+03 9.000000000000000000e+01
2.930736365408918118e+03 1.847412637358104803e+03 9.000000000000000000e+01
2.940321117348255484e+03 2.376178541100226539e+03 9.000000000000000000e+01
3.160000000000000000e+03 2.501274618247886337e+03 9.000000000000000000e+01
2.718670825656293346e+03 1.985020946879843450e+03 9.000000000000000000e+01
2.711046361118645564e+03 1.722336092733545911e+03 9.000000000000000000e+01
2.718645126228145273e+03 2.643798846713520561e+03 9.000000000000000000e+01
2.940351507271049741e+03 2.765265387805564842e+03 9.000000000000000000e+01
3.160000000000000000e+03 2.890414817057435812e+03 9.000000000000000000e+01
6.319999999999997726e+02 2.308586708914539940e+03 9.000000000000000000e+01
2.940314332180560086e+03 2.106602179048412836e+03 9.000000000000000000e+01
6.320000000000000000e+02 2.967308237197910785e+03 9.000000000000000000e+01
2.940319279001464110e+03 3.034907151195138795e+03 9.000000000000000000e+01
3.160000000000000000e+03 3.160000000000000000e+03 9.000000000000000000e+01
