# turbineX, turbineY, turbineZ
7.583999999999999773e+02 1.109317923525111610e+03 1.041303229283125376e+02
1.548950864195438271e+03 7.584000000000000909e+02 1.041303229283741416e+02
2.327685655117613805e+03 7.584000000000000909e+02 1.041303229283125376e+02
2.362438571149171821e+03 1.572440866493078602e+03 1.041303229283741416e+02
3.792000000000000000e+03 7.584000000000000909e+02 1.041303229283125376e+02
7.584000000000003183e+02 1.927765865941095853e+03 1.041303229283741416e+02
1.609023114912468600e+03 1.135001307669083644e+03 1.041303229283125376e+02
1.646581671813385583e+03 1.536408351636985117e+03 1.041303229283741416e+02
3.170125759528268645e+03 7.584000000000000909e+02 1.041303229283125376e+02
3.792000000000000000e+03 1.415432491498718719e+03 1.041303229283741416e+02
7.584000000000000909e+02 2.737917828466123410e+03 1.041303229283125376e+02
1.584306437292792680e+03 2.519142920408039117e+03 1.041303229283741416e+02
2.388801703732292935e+03 2.614286653567482062e+03 1.041303229283125376e+02
3.225907990995376167e+03 1.417480274587757776e+03 1.041303229283741416e+02
3.216503139271264899e+03 2.223605712834164478e+03 1.041303229283125376e+02
7.584000000000000909e+02 3.274774301555817601e+03 1.041303229283741416e+02
1.576984639214441586e+03 3.253149174573051368e+03 1.041303229283125376e+02
2.441052823286227522e+03 3.313143444742806423e+03 1.041303229283741416e+02
3.245704833300242626e+03 3.192686194394383620e+03 1.041303229283125376e+02
3.792000000000000000e+03 2.580315821223139665e+03 1.041303229283741416e+02
7.584000000000002046e+02 3.792000000000000000e+03 1.041303229283125376e+02
1.598737602176304790e+03 3.792000000000000000e+03 1.041303229283741416e+02
2.491062249410537333e+03 3.792000000000000000e+03 1.041303229283125376e+02
3.292737285726590471e+03 3.792000000000000000e+03 1.041303229283741416e+02
3.792000000000000000e+03 3.460198538097775327e+03 1.041303229283125376e+02
