# turbineX, turbineY, turbineZ
1.200799999999999955e+03 1.204385292658490243e+03 1.041303229280795790e+02
2.337049003327656465e+03 1.200799999999999955e+03 1.041303229283744258e+02
3.586250133927092065e+03 1.200799999999999955e+03 1.041303229280795790e+02
5.150598328293204759e+03 1.200799999999999955e+03 1.041303229283744258e+02
6.004000000000000000e+03 1.200799999999999955e+03 1.041303229280795790e+02
1.200799999999999955e+03 2.406916607369181747e+03 1.041303229283744258e+02
2.452118619018080608e+03 2.066096667818010246e+03 1.041303229280795790e+02
3.635597206285242464e+03 2.174023719941675154e+03 1.041303229283744258e+02
5.163094997129885087e+03 2.303999093124637056e+03 1.041303229280795790e+02
6.004000000000000000e+03 2.400977894751990789e+03 1.041303229283744258e+02
1.200799999999999955e+03 3.453923628799406288e+03 1.041303229280795790e+02
2.776290786650143218e+03 3.295997661529898323e+03 1.041303229283744258e+02
3.523351288046977515e+03 3.716755060248428890e+03 1.041303229280795790e+02
4.395446890268540301e+03 3.791572511154010044e+03 1.041303229283744258e+02
6.004000000000000000e+03 3.922322609650142567e+03 1.041303229280795790e+02
1.200799999999999955e+03 4.828957355136296428e+03 1.041303229283744258e+02
2.216222464409702297e+03 4.911937376875791415e+03 1.041303229280795790e+02
3.477462643009283966e+03 5.134437728829062507e+03 1.041303229283744258e+02
4.821616058672660074e+03 5.126970064094296504e+03 1.041303229280795790e+02
6.004000000000000000e+03 4.781384586933034370e+03 1.041303229283744258e+02
1.200799999999999955e+03 6.004000000000000000e+03 1.041303229280795790e+02
2.033417407316527715e+03 6.004000000000000000e+03 1.041303229283744258e+02
3.536049558678030280e+03 6.004000000000000000e+03 1.041303229280795790e+02
4.884632177725778092e+03 6.004000000000000000e+03 1.041303229283744258e+02
6.004000000000000000e+03 5.941039746370075591e+03 1.041303229280795790e+02
