# turbineX, turbineY, turbineZ
3.791999999999999886e+02 3.792000000000000455e+02 1.174378471627118614e+02
7.394218888502161917e+02 3.792000000000000455e+02 1.174378471627118614e+02
9.922218888502163736e+02 3.792000000000000455e+02 1.174378471627118614e+02
1.631343772211123905e+03 3.792000000000001023e+02 1.174378471627118614e+02
1.896000000000000000e+03 3.792000000000000455e+02 1.174378471627118614e+02
3.791999999999999886e+02 6.320000000000001137e+02 1.174378471627118614e+02
7.782304419860939788e+02 6.290033964781210898e+02 1.174378471627118614e+02
1.245021888850216556e+03 3.792000000000002160e+02 1.174378471627118614e+02
1.646966403309603038e+03 6.993587007312122523e+02 1.174378471627118614e+02
1.895999999999999773e+03 7.428340704008833200e+02 1.174378471627118614e+02
3.792000000000001023e+02 1.088894453742478845e+03 1.174378471627118614e+02
6.299576416657379241e+02 1.056825025830025879e+03 1.174378471627118614e+02
1.098140711798312623e+03 1.113236947700651399e+03 1.174378471627118614e+02
1.895999999999999773e+03 1.137600000000000136e+03 1.174378471627118614e+02
1.895999999999999773e+03 1.390400000000000091e+03 1.174378471627118614e+02
3.792000000000001023e+02 1.535431853631359445e+03 1.174378471627118614e+02
6.294119814872680081e+02 1.571512379150693278e+03 1.174378471627118614e+02
1.048512569669896948e+03 1.626945204472606065e+03 1.174378471627118614e+02
1.390399999999999864e+03 1.896000000000000000e+03 1.174378471627118614e+02
1.895999999999999773e+03 1.643200000000000045e+03 1.174378471627118614e+02
3.792000000000000455e+02 1.895999999999999773e+03 1.174378471627118614e+02
6.383170933166031773e+02 1.895999999999999773e+03 1.174378471627118614e+02
1.103282043639525455e+03 1.895999999999999773e+03 1.174378471627118614e+02
1.643199999999999818e+03 1.896000000000000000e+03 1.174378471627118614e+02
1.895999999999999773e+03 1.896000000000000000e+03 1.174378471627118614e+02
