# turbineX, turbineY, turbineZ
8.848000000000000682e+02 8.848000000000000682e+02 1.041303229283233094e+02
1.521636471481366243e+03 8.848000000000000682e+02 1.041303229283233094e+02
2.502971167791294647e+03 8.848000000000001819e+02 1.041303229283233094e+02
3.509909173586494944e+03 8.848000000000000682e+02 1.041303229283233094e+02
4.424000000000000000e+03 8.848000000000000682e+02 1.041303229283233094e+02
8.848000000000001819e+02 1.661580286795487609e+03 1.041303229283233094e+02
1.579486529397520144e+03 1.710158639038540741e+03 1.041303229283233094e+02
2.581469632100088347e+03 1.646106640176695464e+03 1.041303229283233094e+02
3.587259182695613617e+03 1.633633192251352511e+03 1.041303229283233094e+02
4.424000000000000000e+03 1.765658962262180694e+03 1.041303229283233094e+02
8.848000000000000682e+02 2.713057006029430795e+03 1.041303229283233094e+02
1.540019475753689449e+03 2.763293944291779098e+03 1.041303229283233094e+02
2.591247587891426065e+03 2.709063270566343817e+03 1.041303229283233094e+02
3.657618340787463239e+03 2.548182573481817599e+03 1.041303229283233094e+02
4.424000000000000000e+03 2.613155303884207115e+03 1.041303229283233094e+02
8.848000000000000682e+02 3.700772278656364051e+03 1.041303229283233094e+02
1.601209420969040593e+03 3.809573519129738543e+03 1.041303229283233094e+02
2.674309129812475021e+03 3.549690058590094395e+03 1.041303229283233094e+02
3.617413965771549556e+03 3.567867929999156786e+03 1.041303229283233094e+02
4.424000000000000000e+03 3.629440373506354717e+03 1.041303229283233094e+02
8.848000000000000682e+02 4.424000000000000000e+03 1.041303229283233094e+02
1.693798878097007673e+03 4.424000000000000000e+03 1.041303229283233094e+02
2.719728820141469441e+03 4.424000000000000000e+03 1.041303229283233094e+02
3.647690862313203070e+03 4.424000000000000000e+03 1.041303229283233094e+02
4.424000000000000000e+03 4.424000000000000000e+03 1.041303229283233094e+02
