# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.791999999999999318e+02 1.175241131110828263e+02
7.289824839490004251e+02 3.791999999999999886e+02 7.320000000000000284e+01
9.802473316383182009e+02 4.070190818748851029e+02 1.175241131110828263e+02
1.543444309400584643e+03 3.791999999999999886e+02 7.320000000000000284e+01
1.895999999999999773e+03 3.792000000000001023e+02 1.175241131110828263e+02
3.792000000000000455e+02 7.719990023446621308e+02 7.320000000000000284e+01
7.733267583927226951e+02 6.280804191370540366e+02 1.175241131110828263e+02
1.228467858291634229e+03 4.549202297423202026e+02 7.320000000000000284e+01
1.601810490233284554e+03 6.251710631272235332e+02 1.175241131110828263e+02
1.895999999999999773e+03 6.320000001409982815e+02 7.320000000000000284e+01
3.792000000000000455e+02 1.280357291915390306e+03 1.175241131110828263e+02
7.985712458861398773e+02 9.592767234166951766e+02 7.320000000000000284e+01
7.462105069666359896e+02 1.353031598310579056e+03 1.175241131110828263e+02
1.885724051259877342e+03 1.090275526548801736e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.381251153205855871e+03 1.175241131110828263e+02
3.792000000000001023e+02 1.643199999689815968e+03 7.320000000000000284e+01
7.433922490322685235e+02 1.889941112713363054e+03 1.175241131110828263e+02
1.203896021474071176e+03 1.584232748961268044e+03 7.320000000000000284e+01
1.555488315723891674e+03 1.646040884345806489e+03 1.175241131110828263e+02
1.895999999999999773e+03 1.634051196825726720e+03 7.320000000000000284e+01
3.792000000000000455e+02 1.896000000000000000e+03 1.175241131110828263e+02
9.961200010657606754e+02 1.896000000000000000e+03 7.320000000000000284e+01
1.271219969710996565e+03 1.895999999999999773e+03 1.175241131110828263e+02
1.593288730984726953e+03 1.896000000000000000e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.895999999999999773e+03 1.175241131110828263e+02
