# turbineX, turbineY, turbineZ
1.264000000000000000e+03 1.286780370206524594e+03 9.000000000000000000e+01
2.496385956072372664e+03 1.269507355981236969e+03 9.000000000000000000e+01
3.761769415761194523e+03 1.264000000000000000e+03 9.000000000000000000e+01
5.023662878820064179e+03 1.264000000000000000e+03 9.000000000000000000e+01
6.303004986683078641e+03 1.264000000000000000e+03 9.000000000000000000e+01
1.264000000000000000e+03 2.536611732527258482e+03 9.000000000000000000e+01
2.517840199584025413e+03 2.529320796662069370e+03 9.000000000000000000e+01
3.777386639831802768e+03 2.528364477591790092e+03 9.000000000000000000e+01
5.041994508840641174e+03 2.531706939677583250e+03 9.000000000000000000e+01
6.316830777427380781e+03 2.532227286013536286e+03 9.000000000000000000e+01
1.264000000000000000e+03 3.795995228151351967e+03 9.000000000000000000e+01
2.530210787397495096e+03 3.790583151803145483e+03 9.000000000000000000e+01
3.792363983329020812e+03 3.791828711722896514e+03 9.000000000000000000e+01
5.054623976392666918e+03 3.793366942678511350e+03 9.000000000000000000e+01
6.320000000000000000e+03 3.787658335931526835e+03 9.000000000000000000e+01
1.267550224155758315e+03 5.051890703064972513e+03 9.000000000000000000e+01
2.542575608377766912e+03 5.052431554680459158e+03 9.000000000000000000e+01
3.807517475964121331e+03 5.055613342475694481e+03 9.000000000000000000e+01
5.066840951367308662e+03 5.054204903819083484e+03 9.000000000000000000e+01
6.320000000000000000e+03 5.046361491671483236e+03 9.000000000000000000e+01
1.281843085335819296e+03 6.320000000000000000e+03 9.000000000000000000e+01
2.560688488277105989e+03 6.320000000000000000e+03 9.000000000000000000e+01
3.822669950303535188e+03 6.320000000000000000e+03 9.000000000000000000e+01
5.087233732255429459e+03 6.314176101598637615e+03 9.000000000000000000e+01
6.320000000000000000e+03 6.296094168118448579e+03 9.000000000000000000e+01
