# turbineX, turbineY, turbineZ
1.264000000000000000e+03 1.286556852882620660e+03 1.103534249575435382e+02
2.496970287991271107e+03 1.269398914328980482e+03 1.103534249575435382e+02
3.762035897999369354e+03 1.264000000000000000e+03 1.103534249575435382e+02
5.023547864537091300e+03 1.264000000000000000e+03 1.103534249575435382e+02
6.302568340870518114e+03 1.264000000000000000e+03 1.103534249575435382e+02
1.264000000000000000e+03 2.536808573479940605e+03 1.103534249575435382e+02
2.518031410131819030e+03 2.529362979645837186e+03 1.103534249575435382e+02
3.777660796764796942e+03 2.528292094605765215e+03 1.103534249575435382e+02
5.042184647253772710e+03 2.531620845047795683e+03 1.103534249575435382e+02
6.316665513347550586e+03 2.532197234047023358e+03 1.103534249575435382e+02
1.264000000000000000e+03 3.796190307483962897e+03 1.103534249575435382e+02
2.530221226301378920e+03 3.790742065026866840e+03 1.103534249575435382e+02
3.792473995841987289e+03 3.791828723652782173e+03 1.103534249575435382e+02
5.054786339144409794e+03 3.793180276741191847e+03 1.103534249575435382e+02
6.320000000000000000e+03 3.787406721243496577e+03 1.103534249575435382e+02
1.267775035148378038e+03 5.052027580228137595e+03 1.103534249575435382e+02
2.542546024222357119e+03 5.052609928312768716e+03 1.103534249575435382e+02
3.807398792721912741e+03 5.055640765133353852e+03 1.103534249575435382e+02
5.066789052495532815e+03 5.054057173878184585e+03 1.103534249575435382e+02
6.320000000000000000e+03 5.046015932687801978e+03 1.103534249575435382e+02
1.282402976018039681e+03 6.320000000000000000e+03 1.103534249575435382e+02
2.560721153051224974e+03 6.320000000000000000e+03 1.103534249575435382e+02
3.822456818190186823e+03 6.320000000000000000e+03 1.103534249575435382e+02
5.086696063415028220e+03 6.314130848546597008e+03 1.103534249575435382e+02
6.320000000000000000e+03 6.296032420329604975e+03 1.103534249575435382e+02
