# turbineX, turbineY, turbineZ
3.159999999999999432e+02 3.160000000000000568e+02 1.261434076627471939e+02
5.820550757488700810e+02 3.160000000000000568e+02 7.320000000000000284e+01
8.348550757488700356e+02 3.160000000000000000e+02 1.261434076627471939e+02
1.327200000000000045e+03 3.160000000000000568e+02 7.320000000000000284e+01
1.580000000000000000e+03 3.159999999999998863e+02 1.261434076627471939e+02
3.160000000000001137e+02 6.901288907143523375e+02 7.320000000000000284e+01
6.402542914911595062e+02 5.620096083578097250e+02 1.261434076627471939e+02
1.081027537874431800e+03 3.735064326335215128e+02 7.320000000000000284e+01
1.423647353108710149e+03 5.496788542853859099e+02 1.261434076627471939e+02
1.560186303854055723e+03 8.001702295170804291e+02 7.320000000000000284e+01
3.159999999999998863e+02 9.429288907143524057e+02 1.261434076627471939e+02
6.456031195871275941e+02 8.147530912234703919e+02 7.320000000000000284e+01
1.099784366657790770e+03 7.865912017517059667e+02 1.261434076627471939e+02
1.155521843222689995e+03 1.069797062951975249e+03 7.320000000000000284e+01
1.580000000000000000e+03 1.052192688213937117e+03 1.261434076627471939e+02
3.159999999999999432e+02 1.195728890714352701e+03 7.320000000000000284e+01
5.300793360518308646e+02 1.330182956819527817e+03 1.261434076627471939e+02
8.157661016162339820e+02 1.526003600617726988e+03 7.320000000000000284e+01
1.210352678520524705e+03 1.350119311852934516e+03 1.261434076627471939e+02
1.580000000000000227e+03 1.304992688213937072e+03 7.320000000000000284e+01
3.160000000000000568e+02 1.580000000000000000e+03 1.261434076627471939e+02
5.688000000000000682e+02 1.580000000000000000e+03 7.320000000000000284e+01
1.062732203232468009e+03 1.580000000000000227e+03 1.261434076627471939e+02
1.315532203232467964e+03 1.580000000000000227e+03 7.320000000000000284e+01
1.580000000000000000e+03 1.580000000000000000e+03 1.261434076627471939e+02
