# turbineX, turbineY, turbineZ
1.137600000000000136e+03 1.140057800160052011e+03 1.103534249575427282e+02
2.656716462182414944e+03 1.137600000000000136e+03 1.103534249575429556e+02
3.812335083680396565e+03 1.137600000000000136e+03 1.103534249575427282e+02
4.967042764036113113e+03 1.137600000000000136e+03 1.103534249575429556e+02
5.688000000000000000e+03 1.137600000000000136e+03 1.103534249575427282e+02
1.137600000000000364e+03 1.961048057223427350e+03 1.103534249575429556e+02
2.734496279479819805e+03 1.801733681805834749e+03 1.103534249575427282e+02
3.950364340139763044e+03 1.873717017985032953e+03 1.103534249575429556e+02
5.082340389351905287e+03 2.507563590037595077e+03 1.103534249575427282e+02
5.688000000000000000e+03 2.171461055125318126e+03 1.103534249575429556e+02
1.138991666609788581e+03 3.123971790535749733e+03 1.103534249575427282e+02
3.038284016673835595e+03 3.644785577087451202e+03 1.103534249575429556e+02
2.850449227736175089e+03 2.653471789509868813e+03 1.103534249575427282e+02
4.413558698029809420e+03 3.942969838798779165e+03 1.103534249575429556e+02
5.646114864640594533e+03 4.035169659751438758e+03 1.103534249575427282e+02
1.137600000000000136e+03 4.972458303995425013e+03 1.103534249575429556e+02
1.903303083090591372e+03 4.540547433839157748e+03 1.103534249575427282e+02
3.315191878857006486e+03 4.782625052077575674e+03 1.103534249575429556e+02
4.544473757587122236e+03 4.891013042516217865e+03 1.103534249575427282e+02
5.663987255835581891e+03 4.976452020173888741e+03 1.103534249575429556e+02
1.147167063477985266e+03 5.688000000000000000e+03 1.103534249575427282e+02
2.117114838905937631e+03 5.472503256896958192e+03 1.103534249575429556e+02
3.462657149688661320e+03 5.610838907117961753e+03 1.103534249575427282e+02
4.621288225729394071e+03 5.688000000000000000e+03 1.103534249575429556e+02
5.688000000000000000e+03 5.688000000000000000e+03 1.103534249575427282e+02
