# turbineX, turbineY, turbineZ
3.160000000000000568e+02 3.159999999999999432e+02 1.103534249575121748e+02
5.688000000000000682e+02 3.160000000000000000e+02 1.103534249575121748e+02
8.216000024897271032e+02 3.160734238988833340e+02 1.103534249575121748e+02
1.327200000000000045e+03 3.159999999999999432e+02 1.103534249575121748e+02
1.580000000000000000e+03 3.159999999999999432e+02 1.103534249575121748e+02
3.160000000000000000e+02 6.235535538075849900e+02 1.103534249575121748e+02
5.751214564098344226e+02 6.600915267177331316e+02 1.103534249575121748e+02
1.074400000000000091e+03 3.159999999999999432e+02 1.103534249575121748e+02
1.579989970357680249e+03 5.688000066249297788e+02 1.103534249575121748e+02
1.579936488623769492e+03 8.216000046242636472e+02 1.103534249575121748e+02
3.160420966602377462e+02 8.763535553147220298e+02 1.103534249575121748e+02
8.792477935151646307e+02 5.622199343084816974e+02 1.103534249575121748e+02
8.630806770260581970e+02 1.141954729539892242e+03 1.103534249575121748e+02
1.131454916042711602e+03 9.683628300772772945e+02 1.103534249575121748e+02
1.579999862036925606e+03 1.074400000326146710e+03 1.103534249575121748e+02
3.160000000000000000e+02 1.249040654595263049e+03 1.103534249575121748e+02
5.676022460433715651e+02 1.273642226302510153e+03 1.103534249575121748e+02
8.215037933393324465e+02 1.573008146220005756e+03 1.103534249575121748e+02
1.292006069871065392e+03 1.329634125498906315e+03 1.103534249575121748e+02
1.579993133562783441e+03 1.327200000251349820e+03 1.103534249575121748e+02
3.160000000000000000e+02 1.580000000000000000e+03 1.103534249575121748e+02
5.687999999999999545e+02 1.580000000000000000e+03 1.103534249575121748e+02
1.074207586678664939e+03 1.580000000000000000e+03 1.103534249575121748e+02
1.327007586678664893e+03 1.580000000000000000e+03 1.103534249575121748e+02
1.579964824602448289e+03 1.580000000000000000e+03 1.103534249575121748e+02
